method,lambda,seed,initial_regularizer,final_regularizer,final_to_initial_ratio
mmd,0.03,4,0.1002444624900817,0.0223734006285667,0.22318839437919424
mmd,0.1,0,0.0623686946928501,0.0159400682896375,0.25557803266748275
mmd,0.1,1,0.2951195836067199,0.0169814098626375,0.05754077603086869
mmd,0.1,2,0.2614609003067016,0.0143349561840295,0.05482638577016356
mmd,0.1,3,0.1126889884471893,0.0188136547803878,0.1669520246798972
mmd,0.1,4,0.1002444624900817,0.0194269977509975,0.1937962184486712
mmd,0.3,0,0.0623686946928501,0.0115954093635082,0.1859171403315819
mmd,0.3,1,0.2951195836067199,0.0147113148123025,0.049848656712348116
mmd,0.3,2,0.2614609003067016,0.0120365712791681,0.04603583658225316
mmd,0.3,3,0.1126889884471893,0.015768764540553,0.13993172498786685
mmd,0.3,4,0.1002444624900817,0.0138801317662,0.13846282798487064
mmd,1.0,0,0.0623686946928501,0.0050727128982543,0.08133428033464732
mmd,1.0,1,0.2951195836067199,0.0123791676014661,0.04194627632018733
mmd,1.0,2,0.2614609003067016,0.0084711164236068,0.03239917101819018
mmd,1.0,3,0.1126889884471893,0.0098608564585447,0.08750505789805632
mmd,1.0,4,0.1002444624900817,0.0055108703672885,0.05497431210061854
