method,lambda,metric,mean_paired_delta_vs_erm,std_paired_delta,positive_seed_count,negative_seed_count,zero_seed_count,n_seeds,exact_two_sided_sign_flip_p,bh_q_across_all_reported_tests,interpretation
irmv1,1.0,latent_mean_gap,0.011903131008148249,0.22214213514543918,2,3,0,5,0.9375,0.9625,exploratory_only
irmv1,1.0,latent_covariance_gap,0.09416440725326539,0.0643155882013587,5,0,0,5,0.0625,0.13848920863309352,exploratory_only
irmv1,1.0,effective_rank,-0.1309722900390625,0.12872217559240284,1,4,0,5,0.1875,0.3071808510638298,exploratory_only
irmv1,1.0,latent_variance,1.0715521812438964,1.035273872618879,5,0,0,5,0.0625,0.13848920863309352,exploratory_only
l1,0.03,source_mse,-0.0002487301826477051,0.0004862079684455874,1,4,0,5,0.375,0.525,exploratory_only
l1,0.03,cross_domain_mse,0.005634808540344194,0.0033036670375185006,5,0,0,5,0.0625,0.13848920863309352,exploratory_only
l1,0.03,cross_task_mse,-0.03143068552017213,0.031220217179900756,1,4,0,5,0.125,0.22647058823529412,exploratory_only
l1,0.03,joint_mse,0.2760267853736877,0.22608324007989866,4,1,0,5,0.125,0.22647058823529412,exploratory_only
l1,0.03,core_probe_r2,0.07382631301879883,0.049542376295833516,4,1,0,5,0.125,0.22647058823529412,exploratory_only
l1,0.03,spurious_probe_r2,0.14137711524963387,0.09496762312643187,4,1,0,5,0.125,0.22647058823529412,exploratory_only
l1,0.03,domain_probe_accuracy,-0.13310546875,0.1463225831766004,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
l1,0.03,latent_mean_gap,-0.5785424037836492,0.5375698561972457,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
l1,0.03,latent_covariance_gap,-0.14743265360593794,0.02241451434698425,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
l1,0.03,effective_rank,-0.5723339080810547,0.1955210749932696,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
l1,0.03,latent_variance,-2.7527634859085084,0.7550590611203036,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
l1,0.1,source_mse,0.0007687509059905784,0.0012305554195253428,4,1,0,5,0.1875,0.3071808510638298,exploratory_only
l1,0.1,cross_domain_mse,0.016348648071289062,0.015630957926727362,4,1,0,5,0.125,0.22647058823529412,exploratory_only
l1,0.1,cross_task_mse,-0.02212180495262145,0.01816729900293274,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
l1,0.1,joint_mse,0.12795691490173342,0.12843000743006644,5,0,0,5,0.0625,0.13848920863309352,exploratory_only
l1,0.1,core_probe_r2,0.011050903797149658,0.059743887003983885,4,1,0,5,0.5625,0.6957831325301205,exploratory_only
l1,0.1,spurious_probe_r2,0.041118752956390406,0.0740444201090541,4,1,0,5,0.3125,0.4605263157894737,exploratory_only
l1,0.1,domain_probe_accuracy,-0.0123046875,0.18934121513527205,2,3,0,5,0.9375,0.9625,exploratory_only
l1,0.1,latent_mean_gap,-0.5971331243403256,0.5393602102396546,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
l1,0.1,latent_covariance_gap,-0.17747661620378494,0.022667030122400983,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
l1,0.1,effective_rank,-0.8449285507202149,0.19258906292052555,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
l1,0.1,latent_variance,-3.229812002182007,0.7861145583095496,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
l1,0.3,source_mse,0.01686970591545104,0.02329407602578035,5,0,0,5,0.0625,0.13848920863309352,exploratory_only
l1,0.3,cross_domain_mse,0.10821986198425285,0.1482993993537712,5,0,0,5,0.0625,0.13848920863309352,exploratory_only
l1,0.3,cross_task_mse,0.005991768836975109,0.08148790127564708,2,3,0,5,0.9375,0.9625,exploratory_only
l1,0.3,joint_mse,0.23964947462081915,0.17411089314994824,5,0,0,5,0.0625,0.13848920863309352,exploratory_only
l1,0.3,core_probe_r2,-0.017750167846679665,0.09126536011144859,2,3,0,5,0.6875,0.7871747211895911,exploratory_only
l1,0.3,spurious_probe_r2,0.06612392663955691,0.07393350945608264,4,1,0,5,0.125,0.22647058823529412,exploratory_only
l1,0.3,domain_probe_accuracy,0.065234375,0.10923791196103547,4,1,0,5,0.3125,0.4605263157894737,exploratory_only
l1,0.3,latent_mean_gap,-0.6062586091458797,0.5294842571103145,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
l1,0.3,latent_covariance_gap,-0.1973753996193409,0.02382087364120523,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
l1,0.3,effective_rank,-0.9645464658737183,0.37041637886048,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
l1,0.3,latent_variance,-3.441671347618103,0.8019869384273244,0,5,0,5,0.0625,0.13848920863309352,exploratory_only
l1,1.0,source_mse,0.22620997428894044,0.27769871134543844,5,0,0,5,0.0625,0.13848920863309352,exploratory_only
l1,1.0,cross_domain_mse,0.39432673454284667,0.28498035786711673,4,1,0,5,0.125,0.22647058823529412,exploratory_only
l1,1.0,cross_task_mse,0.1311841607093811,0.11443288037257365,5,0,0,5,0.0625,0.13848920863309352,exploratory_only
l1,1.0,joint_mse,0.8231717824935914,0.7716194400402215,4,1,0,5,0.125,0.22647058823529412,exploratory_only
l1,1.0,core_probe_r2,-0.13060781955718992,0.1199491392822935,1,4,0,5,0.125,0.22647058823529412,exploratory_only
l1,1.0,spurious_probe_r2,0.03140037059783933,0.22395189582144562,4,1,0,5,0.8125,0.8811619718309859,exploratory_only
l1,1.0,domain_probe_accuracy,0.0498046875,0.21580125543337011,3,2,0,5,0.625,0.7432432432432432,exploratory_only
