lambda,method,seed,setting,task1_E_norm,task1_pi_error,task2_E_operator_norm,task2_information_floor,task2_slack_ratio,task2_total_excess,task2_total_regret
0.1,L2,3,mechanism_defined_exposed,11.612137552166555,1.4843957119808288e-11,11.612137552166553,5.56016504587316,inf,67.02890841434285,72.58907346021601
0.001,IRMV1,3,mechanism_defined_exposed,11.235344136736117,9.114432373674231e-11,11.235341393141484,5.56016504587316,inf,62.11722662739177,67.67739167326494
0.01,IRMV1,3,mechanism_defined_exposed,11.232179117348387,8.106875181227101e-11,11.231883898306675,5.56016504587316,inf,62.10719301961366,67.66735806548682
0.1,IRMV1,3,mechanism_defined_exposed,11.258988189187223,1.6578989155539998e-10,11.228197037328462,5.56016504587316,inf,62.31640077208223,67.8765658179554
0.001,VREX,3,mechanism_defined_exposed,11.235685647938794,7.908100227547267e-11,11.235685616459078,5.56016504587316,inf,62.118023078969216,67.67818812484238
0.01,VREX,3,mechanism_defined_exposed,11.232205385005502,8.93676447418177e-11,11.23220224737152,5.56016504587316,inf,62.08304402248943,67.6432090683626
0.1,VREX,3,mechanism_defined_exposed,11.198633634611383,7.295060764198034e-11,11.19832995666566,5.56016504587316,inf,61.743651297179994,67.30381634305316
0.0,L2,3,irrelevant_source_diversity,9.569783569499412,9.540913557188113e-11,9.150378441169034,0.0,inf,41.86471280830553,41.86471280830553
0.001,L2,3,irrelevant_source_diversity,9.561651116260315,1.1428567459060648e-10,9.174220211187057,0.0,inf,42.11892940527381,42.11892940527381
0.01,L2,3,irrelevant_source_diversity,9.646074005391739,3.562396176303723e-11,9.310002211863628,0.0,inf,43.62630077138711,43.62630077138711
0.1,L2,3,irrelevant_source_diversity,9.69984155474478,1.4843957119808288e-11,9.418613991354645,0.0,inf,45.36510248935744,45.36510248935744
0.001,IRMV1,3,irrelevant_source_diversity,9.569375976163759,9.114432373674231e-11,9.149939130808752,0.0,inf,41.863247465891575,41.863247465891575
0.01,IRMV1,3,irrelevant_source_diversity,9.56816054831748,8.106875181227101e-11,9.14815614959525,0.0,inf,41.86631779816831,41.86631779816831
0.1,IRMV1,3,irrelevant_source_diversity,9.616996089429554,1.6578989155539998e-10,9.156539822528348,0.0,inf,42.10195659521084,42.10195659521084
0.001,VREX,3,irrelevant_source_diversity,9.569619187066268,7.908100227547267e-11,9.150208673841025,0.0,inf,41.86329901540567,41.86329901540567
0.01,VREX,3,irrelevant_source_diversity,9.56814826949429,8.93676447418177e-11,9.14868549943683,0.0,inf,41.850616759250094,41.850616759250094
