A_recoverable_norm,E_mode_norm,PiO_mode_norm,alignment_with_negative_Arec,lambda,method,mode,policy,setting,source_visible_norm
0.06589107497652855,6.544546206530749e-05,0.06586930144168202,0.9999995611927452,0.001,IRMV1,4,Pi0K,hidden_u_hurts,1.0178008433018144
0.06589107497652855,6.179629959384415e-07,0.06589095558032841,0.999999999957663,0.001,IRMV1,4,PiCK,hidden_u_hurts,1.0178008433018144
0.1263984541514605,2.0491522876814906e-06,0.1263969979800085,0.9999999999349479,0.001,IRMV1,5,actual,hidden_u_hurts,0.5553390759962502
0.1263984541514605,1.8658242699517025e-13,0.12639845415140755,1.0,0.001,IRMV1,5,Pi00,hidden_u_hurts,0.5553390759962502
0.1263984541514605,8.73947499700834e-05,0.1264184904746092,0.9999997735671197,0.001,IRMV1,5,PiC0,hidden_u_hurts,0.5553390759962502
0.1263984541514605,8.882584528402786e-05,0.1263772634183199,0.9999997670891912,0.001,IRMV1,5,Pi0K,hidden_u_hurts,0.5553390759962502
0.1263984541514605,1.9267237075412467e-06,0.12639718027701421,0.9999999999346064,0.001,IRMV1,5,PiCK,hidden_u_hurts,0.5553390759962502
0.2146119130120162,3.0307512675470272e-06,0.21460951623994787,0.9999999999626455,0.001,IRMV1,6,actual,hidden_u_hurts,0.46330382781737406
0.2146119130120162,3.100503007300247e-13,0.214611913012159,1.0,0.001,IRMV1,6,Pi00,hidden_u_hurts,0.46330382781737406
0.2146119130120162,0.00010821759385358679,0.2146298539760878,0.9999998763716416,0.001,IRMV1,6,PiC0,hidden_u_hurts,0.46330382781737406
0.2146119130120162,0.00011005299434509698,0.2145921945798892,0.9999998727272934,0.001,IRMV1,6,Pi0K,hidden_u_hurts,0.46330382781737406
0.2146119130120162,2.658864480232309e-06,0.21461002621756345,0.9999999999619003,0.001,IRMV1,6,PiCK,hidden_u_hurts,0.46330382781737406
0.15942051929462298,9.070948140054827e-06,0.15941178708856546,0.9999999998813489,0.01,IRMV1,0,actual,hidden_u_hurts,1.3086745454002222
0.15942051929462298,2.136817940231098e-12,0.15942051929382411,1.0,0.01,IRMV1,0,Pi00,hidden_u_hurts,1.3086745454002222
0.15942051929462298,0.0023588685981098642,0.1605996041912559,0.9999184853202994,0.01,IRMV1,0,PiC0,hidden_u_hurts,1.3086745454002222
0.15942051929462298,0.0022888995474350444,0.15830155667298212,0.9999210076436229,0.01,IRMV1,0,Pi0K,hidden_u_hurts,1.3086745454002222
0.15942051929462298,5.167842911854466e-06,0.15942117814585222,0.9999999994831299,0.01,IRMV1,0,PiCK,hidden_u_hurts,1.3086745454002222
0.016939847902615573,4.028721331078994e-06,0.01693841252666971,0.999999975307414,0.01,IRMV1,1,actual,hidden_u_hurts,1.179566679912516
0.016939847902615573,9.39184824568217e-13,0.016939847902397068,1.0000000000000002,0.01,IRMV1,1,Pi00,hidden_u_hurts,1.179566679912516
0.016939847902615573,8.942666784098157e-05,0.016953855158297417,0.9999864187991745,0.01,IRMV1,1,PiC0,hidden_u_hurts,1.179566679912516
0.016939847902615573,8.3740595059387e-05,0.01692547114355813,0.9999881314227178,0.01,IRMV1,1,Pi0K,hidden_u_hurts,1.179566679912516
