actual_target_risk_change,blind_fraction,control_score_c,curvature_ratio,exact_optimizer_success,exact_target_risk,exposure_posthoc,intervention_family_posthoc,lambda,local_valid,local_vulnerability,method,metric_min_eigenvalue,relevance_squared,shift_id,shift_index,source_optimum_target_risk,steering,steering_class
1.8220457564943615e-07,0.0,0.6856600483769424,0.9999314398401327,True,0.3019304550769728,S1,relation,0.0001,True,0.0016577459734379379,L2,1.0711950225474327,0.013741337539464145,S1-relation--1-1.0,10,0.30193027287239715,1.8242156696588123e-07,harmful
-2.8483758046649044e-06,0.0,0.6226742544936366,0.9999377368718414,True,0.2745571985113544,S1,mean,0.0001,True,0.0029582273003443175,L2,1.0711950225474327,0.04376253683272921,S1-mean--1-1.0,11,0.27456004688715907,-2.8494847386043914e-06,helpful
-1.2478877982058378e-06,0.0,0.37903153301099995,0.9999620992679527,True,0.222126859899906,S1,relation,0.0001,True,0.0012927937478840175,L2,1.0711950225474327,0.008357178883588494,S1-relation-+1-1.0,12,0.2221281077877042,-1.2487333896245258e-06,helpful
-4.1705871356434443e-07,0.0,0.4860028510130237,0.9999514022100037,True,0.2745596298284456,S1,mean,0.0001,True,0.0029582764661695545,L2,1.0711950225474327,0.043762536832729265,S1-mean-+1-1.0,13,0.2745600468871592,-4.1609521828770807e-07,helpful
-3.999116379382883e-06,0.0,0.8630695322344473,0.9999137008945241,True,0.3015163755148609,S1,variance,0.0001,True,0.002802675021235536,L2,1.0711950225474327,0.03928177311879963,S1-variance-1.0,14,0.30152037463124026,-3.998669334969919e-06,helpful
2.3539332549837866e-07,0.0,0.7211412494579069,0.9999278916883666,True,0.26219172529943746,S2,relation,0.0001,True,0.00033622592283525494,L2,1.0711950225474327,0.0005652361647570547,S2-relation--1-0.25,15,0.26219148990611196,2.348062281280374e-07,harmful
-2.0461029537344189e-07,0.0,0.5071493165991059,0.9999492877495969,True,0.2563877201884641,S2,mean,0.0001,True,0.0004190220935477133,L2,1.0711950225474327,0.0008779851951268903,S2-mean--1-0.25,16,0.2563879247987595,-2.0521855462457992e-07,helpful
-2.4714134949643807e-07,0.0,0.6965890713945313,0.9999303466617997,True,0.24999913531001172,S2,relation,0.0001,True,0.00031392501552214656,L2,1.0711950225474327,0.0004927389512466441,S2-relation-+1-0.25,17,0.24999938245136122,-2.474318318240023e-07,helpful
1.6685232318014442e-07,0.0,0.4989096574808727,0.9999501116583759,True,0.2563880916510827,S2,mean,0.0001,True,0.00041902418275663046,L2,1.0711950225474327,0.000877985195126891,S2-mean-+1-0.25,18,0.2563879247987595,1.665526433056887e-07,harmful
-1.8873182572320957e-07,0.0,0.7834861591082698,0.9999216577391388,True,0.26020781471026133,S2,variance,0.0001,True,0.0004243221395394986,L2,1.0711950225474327,0.0009003570023965495,S2-variance-0.25,19,0.26020800344208705,-1.8938405543946982e-07,helpful
4.577443373232626e-07,0.0,0.7314574793652026,0.9999268601676643,True,0.2687134393705851,S2,relation,0.0001,True,0.0006954063944333046,L2,1.0711950225474327,0.00241794384608098,S2-relation--1-0.5,20,0.2687129816262478,4.5698685256011015e-07,harmful
-4.4827285139437123e-07,0.0,0.5197252239152748,0.9999480303006663,True,0.2576903803787367,S2,mean,0.0001,True,0.0008513695408848132,L2,1.0711950225474327,0.0036245322994010055,S2-mean--1-0.5,21,0.2576908286515881,-4.491030205680522e-07,helpful
-5.073250126663709e-07,0.0,0.6820554090531951,0.9999317998828626,True,0.24432825939173375,S2,relation,0.0001,True,0.0006062989418529621,L2,1.0711950225474327,0.0018379661379977136,S2-relation-+1-0.5,22,0.24432876671674641,-5.07489267343968e-07,helpful
2.946523853797345e-07,0.0,0.5037578148900681,0.9999496269308523,True,0.2576911233039736,S2,mean,0.0001,True,0.0008513777669028273,L2,1.0711950225474327,0.003624532299401007,S2-mean-+1-0.5,23,0.2576908286515882,2.9443937529248613e-07,harmful
-3.77895081005164e-07,0.0,0.7834861591082698,0.999921657739139,True,0.26446200547460985,S2,variance,0.0001,True,0.0008486442790789985,L2,1.0711950225474327,0.003601428009586209,S2-variance-0.5,24,0.26446238336969086,-3.7876811087894017e-07,helpful
8.646137104051377e-07,0.0,0.7488373313963753,0.9999251223541217,True,0.28260770566575033,S2,relation,0.0001,True,0.0014848414122021196,L2,1.0711950225474327,0.011023806961001728,S2-relation--1-1.0,25,0.2826068410520399,8.634712903363616e-07,harmful
