exact_displacement_norm,exact_optimizer_gradient_norm,exact_optimizer_success,exact_source_risk,lambda,local_displacement_norm,local_exact_error,local_valid,method,metric_min_eigenvalue,source_exposure_used_for_selection
0.0,0.0,True,0.25595362351448325,0.0,0.0,0.0,True,VREX,1.0710950225474327,False
2.4520855573518406e-10,2.9159688697877235e-10,True,0.25595362351448325,1e-06,3.622706368667194e-10,2.1509502174445278e-10,True,VREX,1.071095023397343,False
7.754175462841505e-10,9.221102226439437e-10,True,0.25595362351448314,3.162277660168379e-06,1.145600234258924e-09,6.801900129238709e-10,True,VREX,1.0710950252350864,False
3.929980966941887e-09,2.371412931096248e-09,True,0.2559536235144832,1e-05,3.6227060394947878e-09,6.446005444491823e-10,True,VREX,1.0710950310465397,False
1.179940926061664e-08,1.8852327421251216e-09,True,0.2559536235144833,3.1622776601683795e-05,1.1456001891117444e-08,1.0665908904917917e-09,True,VREX,1.071095049423965,False
3.7365975128483325e-08,5.917749911531135e-09,True,0.25595362351448486,0.0001,3.622705371572135e-08,3.361363120827767e-09,True,VREX,1.071095107538469,False
1.1170819563601102e-07,6.6956071336087e-09,True,0.25595362351450024,0.00031622776601683794,1.145599512309413e-07,4.936641569801229e-09,True,VREX,1.0710952913124567,False
3.626783932321841e-07,1.342214090975739e-09,True,0.255953623514657,0.001,3.622698600227165e-07,8.335296979582349e-10,True,VREX,1.0710958724547532,False
1.1455826371384688e-06,3.898386823942613e-10,True,0.2559536235162182,0.0031622776601683794,1.1455927403083905e-06,2.500735322526546e-10,True,VREX,1.0710977101672574,False
3.6225989559618237e-06,1.232812823778139e-09,True,0.2559536235318336,0.01,3.622630881507695e-06,7.9084620878051e-10,True,VREX,1.0711035213164601,False
1.1455187265031437e-05,1.3337790881363087e-10,True,0.2559536236879797,0.03162277660168379,1.1455250242779345e-05,1.1772565321446465e-10,True,VREX,1.0711218957035888,False
3.621933897723696e-05,4.224875476408588e-10,True,0.2559536252490727,0.1,3.621953803026177e-05,3.7240554007599344e-10,True,VREX,1.0711799798081127,False
0.00011448489264223454,1.475846076676419e-10,True,0.2559536408485889,0.31622776601683794,0.0001144848204555263,1.1627881251487958e-10,True,VREX,1.0713634495385016,False
0.0003615200227275782,4.753793528963152e-10,True,0.2559537964814861,1.0,0.000361519377525193,8.637077856974044e-10,True,VREX,1.0719415407548016,False
0.0011381282758541388,1.895656680450498e-11,True,0.25595534146189003,3.1622776601683795,0.001138113880945418,1.8053553718880526e-08,True,VREX,1.0737484721215744,False
0.0035490908983051876,7.507524381262205e-11,True,0.25597044266654057,10.0,0.0035486506174499306,5.576376626879667e-07,True,VREX,1.0792431325508658,False
