method,seed,checkpoint,radius,cell,delta_norm,raw_direction_norm,common_alpha,functional_response_norm,source_response_norm,counterfactual_response_norm,clean_response_norm,projected_condition_number,min_eigenvalue,negative_eigenvalue_count,pd_gate,linear_solve_residual,radius_error_half,radius_error_quarter,linearity_gate,resolution_gate,cosine_to_R00,cosine_to_C,cosine_to_K,derived_valid,required_cells
IRMv1,13,300,0.001,11,8.597052979724307e-05,54.5175927147211,1.576931876781653e-06,4.907461237561092e-05,2.9723520518738538e-05,3.429947355207314e-05,1.8664833828331535e-05,159.70890404273518,-0.17741501583341945,4.0,False,3.9569951286131534e-16,0.0004850414135716037,0.0007684261659933292,True,False,,,,,
IRMv1,13,300,0.0005,11,4.2985264898621534e-05,54.5175927147211,7.884659383908265e-07,2.4536907354080404e-05,1.4860981611495541e-05,1.7149859667899415e-05,9.332382408413913e-06,159.70890404273518,-0.17741501583341945,4.0,False,3.9569951286131534e-16,0.0004850414135716037,0.0007684261659933292,True,False,,,,,
IRMv1,13,300,0.00025,11,2.1492632449310767e-05,54.5175927147211,3.9423296919541323e-07,1.2268301590826475e-05,7.430260558615656e-06,8.574929642026797e-06,4.666158333023657e-06,159.70890404273518,-0.17741501583341945,4.0,False,3.9569951286131534e-16,0.0004850414135716037,0.0007684261659933292,True,False,,,,,
IRMv1,13,300,0.001,delta_C,,,,0.0009315303743527675,0.0005901717083819711,0.0006829735609861113,0.00023020275402623695,,,,True,,,,True,True,-0.9547456709854633,0.99999884759414,0.9539798992686656,True,"10,00"
IRMv1,13,300,0.001,delta_K,,,,4.395636424354425e-06,2.774677685108355e-06,3.191519455117038e-06,1.1987438786006537e-06,,,,False,,,,True,False,-0.948962277290375,0.9539798992686656,0.9507913236785154,False,"01,00"
IRMv1,13,300,0.001,delta_interaction,,,,0.0009253756145732992,0.0005852444141174388,0.0006793984311407018,0.00022853178237348162,,,,False,,,,True,False,0.9519172986029396,-0.998607256052909,-0.9546336699147517,False,"11,10,01,00"
IRMv1,13,300,0.0005,delta_C,,,,0.00046579602734069924,0.0002950898608443136,0.00034152302628382374,0.00011510836473167238,,,,True,,,,True,True,-0.9540561258307835,0.999995391002868,0.953289259101482,True,"10,00"
IRMv1,13,300,0.0005,delta_K,,,,2.1978181779987185e-06,1.3873388278171392e-06,1.5957597029290043e-06,5.993719136567111e-07,,,,False,,,,True,False,-0.8274434047997826,0.953289259101482,0.8284853206618784,False,"01,00"
IRMv1,13,300,0.0005,delta_interaction,,,,0.00046271978835053795,0.00029262645079215863,0.0003397365168564692,0.00011427362750077241,,,,False,,,,True,False,0.9512235536704687,-0.9986039989783105,-0.9539359851865008,False,"11,10,01,00"
IRMv1,13,300,0.00025,delta_C,,,,0.00023290360094619696,0.0001475480361297712,0.00017076554220378761,5.7556875903748765e-05,,,,True,,,,True,True,-0.9512787267421432,0.9999815651508895,0.9504991098472118,True,"10,00"
IRMv1,13,300,0.00025,delta_K,,,,1.0989090804662002e-06,6.936694103171288e-07,7.978798455150673e-07,2.996859496910201e-07,,,,False,,,,True,False,-0.5471720627965383,0.9504991098472118,0.5470196270553849,False,"01,00"
IRMv1,13,300,0.00025,delta_interaction,,,,0.00023136562293556137,0.00014631634495887146,0.00016987233109551562,5.7139914266757485e-05,,,,False,,,,True,False,0.9484357989043651,-0.998590199184163,-0.9511250966278554,False,"11,10,01,00"
IRMv1,14,300,0.001,00,1.6581354849505773e-05,2.55371147680832,6.493041598508795e-06,1.5294523381116546e-05,9.42199003097998e-06,1.169197573732312e-05,2.9062437388288186e-06,1.2230994872947858,0.00201054143858395,0.0,True,1.320380649306595e-18,1.6434275345348718e-07,2.464127768778273e-07,True,True,,,,,
