adaptive_condition_holds,alpha,cross_E_irr_star_norm,cross_irr_E_star_norm,gram_sum_residual,kind,lambda,method,psd_min_gap,recoverable_exact,seed,setting,slack_ratio,support_compatible
False,0.0,0.0,0.0,7.507157538594682e-15,cmnist,0.01,IRMV1,-91.88995483443858,False,2,declared_source_target_coupled_correlation,inf,False
False,0.0,0.0,0.0,4.398251609880774e-15,cmnist,0.1,IRMV1,-92.09709592077965,False,2,declared_source_target_coupled_correlation,inf,False
False,0.0,0.0,0.0,4.519711755718438e-15,cmnist,0.001,VREX,-91.91672664864792,False,2,declared_source_target_coupled_correlation,inf,False
False,0.0,0.0,0.0,7.61564433056787e-15,cmnist,0.01,VREX,-91.89943715795559,False,2,declared_source_target_coupled_correlation,inf,False
False,0.0,0.0,0.0,3.8338811169353295e-15,cmnist,0.1,VREX,-91.73134667351096,False,2,declared_source_target_coupled_correlation,inf,False
False,6.317102269586476,0.0,0.0,5.5739500447360856e-15,cmnist,0.0,L2,-90.13605015230956,False,2,mechanism_defined_hidden,inf,False
False,6.317102269586476,0.0,0.0,6.563388605015458e-15,cmnist,0.001,L2,-90.59137269158157,False,2,mechanism_defined_hidden,inf,False
False,6.317102269586476,0.0,0.0,6.370515901193926e-15,cmnist,0.01,L2,-91.96998198040427,False,2,mechanism_defined_hidden,inf,False
False,6.317102269586476,0.0,0.0,7.013403421921527e-15,cmnist,0.1,L2,-87.3048283204869,False,2,mechanism_defined_hidden,inf,False
False,6.317102269586476,0.0,0.0,4.5462814120249e-15,cmnist,0.001,IRMV1,-90.13039590494097,False,2,mechanism_defined_hidden,inf,False
False,6.317102269586476,0.0,0.0,2.969829495992672e-15,cmnist,0.01,IRMV1,-90.11473809033387,False,2,mechanism_defined_hidden,inf,False
False,6.317102269586476,0.0,0.0,6.569980669972723e-15,cmnist,0.1,IRMV1,-90.3678595249575,False,2,mechanism_defined_hidden,inf,False
False,6.317102269586476,0.0,0.0,6.945271623093595e-15,cmnist,0.001,VREX,-90.13456207933419,False,2,mechanism_defined_hidden,inf,False
False,6.317102269586476,0.0,0.0,8.578628173912271e-15,cmnist,0.01,VREX,-90.12120660937089,False,2,mechanism_defined_hidden,inf,False
False,6.317102269586476,0.0,0.0,3.658167149990038e-15,cmnist,0.1,VREX,-89.99123623352868,False,2,mechanism_defined_hidden,inf,False
False,3.6471806958441504,4.8418992891959955e-15,4.8418992891959955e-15,1.32415715199497e-14,cmnist,0.0,L2,-134.99501332549357,False,2,mechanism_defined_exposed,inf,False
False,3.6471806958441504,6.410519639295125e-15,6.410519639295125e-15,1.1884677661442018e-14,cmnist,0.001,L2,-136.11627127061786,False,2,mechanism_defined_exposed,inf,False
False,3.6471806958441504,5.093293083857502e-15,5.0932930838575044e-15,1.5596548296510184e-14,cmnist,0.01,L2,-139.29386294842075,False,2,mechanism_defined_exposed,inf,False
False,3.6471806958441504,1.462759022704085e-15,1.4627590227040851e-15,8.625268529394882e-15,cmnist,0.1,L2,-128.10874679217252,False,2,mechanism_defined_exposed,inf,False
False,3.6471806958441504,2.9594563381778264e-15,2.9594563381778276e-15,9.212930598016728e-15,cmnist,0.001,IRMV1,-134.98049915054858,False,2,mechanism_defined_exposed,inf,False
False,3.6471806958441504,7.768952856357156e-15,7.768952856357151e-15,1.3350065593279565e-14,cmnist,0.01,IRMV1,-134.91305109694952,False,2,mechanism_defined_exposed,inf,False
False,3.6471806958441504,6.944006344056908e-15,6.944006344056906e-15,8.768130569415808e-15,cmnist,0.1,IRMV1,-134.87936048861923,False,2,mechanism_defined_exposed,inf,False
False,3.6471806958441504,4.29781054088675e-15,4.297810540886751e-15,1.2005379673397816e-14,cmnist,0.001,VREX,-134.98999796868452,False,2,mechanism_defined_exposed,inf,False
False,3.6471806958441504,6.108987191065606e-15,6.108987191065607e-15,1.8384732216102888e-14,cmnist,0.01,VREX,-134.94497843887382,False,2,mechanism_defined_exposed,inf,False
