method,seed,checkpoint,radius,cell,delta_norm,raw_direction_norm,common_alpha,functional_response_norm,source_response_norm,counterfactual_response_norm,clean_response_norm,projected_condition_number,min_eigenvalue,negative_eigenvalue_count,pd_gate,linear_solve_residual,radius_error_half,radius_error_quarter,linearity_gate,resolution_gate,derived_valid,required_cells
IRMv1,10,300,0.00025,delta_interaction,,,,0.0006688096466828396,0.00037996747566795066,0.0005050311307377147,0.00021880269174837666,,,,False,,,,True,False,False,"11,10,01,00"
IRMv1,11,300,0.001,00,8.862928220614188e-06,6.8088650255946455,1.3016748294022939e-06,2.285418089662904e-05,1.3379342058062186e-05,1.6953257810498558e-05,7.476218306067729e-06,4.4471112032958,0.000831728632693433,0.0,True,3.577867169202165e-18,8.859677154653901e-08,1.3284164736702666e-07,True,True,,
IRMv1,11,300,0.0005,00,4.431464110307094e-06,6.8088650255946455,6.508374147011469e-07,1.1427090221133921e-05,6.689670840218315e-06,8.476628640543583e-06,3.7381093967116026e-06,4.4471112032958,0.000831728632693433,0.0,True,3.577867169202165e-18,8.859677154653901e-08,1.3284164736702666e-07,True,True,,
IRMv1,11,300,0.00025,00,2.215732055153547e-06,6.8088650255946455,3.2541870735057347e-07,5.713545052953243e-06,3.344835372645548e-06,4.23831425345103e-06,1.8690547587000857e-06,4.4471112032958,0.000831728632693433,0.0,True,3.577867169202165e-18,8.859677154653901e-08,1.3284164736702666e-07,True,True,,
IRMv1,11,300,0.001,01,1.333990921326431e-07,0.102482654745577,1.3016748294022939e-06,1.9388988113302858e-07,8.900828005047213e-08,1.254949130006425e-07,1.1799084243786803e-07,573.509130353653,-0.09940199628419209,3.0,False,9.898949898072314e-18,8.817485536549504e-08,1.7893163762082034e-07,True,False,,
IRMv1,11,300,0.0005,01,6.669954606632154e-08,0.102482654745577,6.508374147011469e-07,9.694494109967755e-08,4.450414027341253e-08,6.274745677598762e-08,5.899542161464672e-08,573.509130353653,-0.09940199628419209,3.0,False,9.898949898072314e-18,8.817485536549504e-08,1.7893163762082034e-07,True,False,,
IRMv1,11,300,0.00025,01,3.334977303316077e-08,0.102482654745577,3.2541870735057347e-07,4.8472471037557514e-08,2.225207050689311e-08,3.137372842636557e-08,2.9497711288704597e-08,573.509130353653,-0.09940199628419209,3.0,False,9.898949898072314e-18,8.817485536549504e-08,1.7893163762082034e-07,True,False,,
IRMv1,11,300,0.001,10,0.0009999999999999996,768.2410210383974,1.3016748294022939e-06,0.002687799009715349,0.0014387816964180175,0.0019531617319490427,0.0011572942562413106,4.4471112032958,0.000831728632693433,0.0,True,3.861542773868778e-16,0.0030611569450286723,0.0052531276158241085,True,True,,
IRMv1,11,300,0.0005,10,0.0004999999999999998,768.2410210383974,6.508374147011469e-07,0.0013439067444943676,0.0007193801703456755,0.0009766085645599998,0.0005786304693316225,4.4471112032958,0.000831728632693433,0.0,True,3.861542773868778e-16,0.0030611569450286723,0.0052531276158241085,True,True,,
IRMv1,11,300,0.00025,10,0.0002499999999999999,768.2410210383974,3.2541870735057347e-07,0.0006719625245074957,0.0003596903666208356,0.0004883194164182408,0.00028931059789023215,4.4471112032958,0.000831728632693433,0.0,True,3.861542773868778e-16,0.0030611569450286723,0.0052531276158241085,True,True,,
IRMv1,11,300,0.001,11,4.309011594192867e-06,3.310359466789012,1.3016748294022939e-06,9.722190201717558e-06,5.46289324752752e-06,7.104568495090263e-06,3.768671673555811e-06,573.509130353653,-0.09940199628419209,3.0,False,7.2247848630775895e-16,5.0222099073539916e-08,7.552230125240335e-08,True,False,,
IRMv1,11,300,0.0005,11,2.1545057970964335e-06,3.310359466789012,6.508374147011469e-07,4.861095191581394e-06,2.7314466653250425e-06,3.552284307400418e-06,1.8843358977361741e-06,573.509130353653,-0.09940199628419209,3.0,False,7.2247848630775895e-16,5.0222099073539916e-08,7.552230125240335e-08,True,False,,
IRMv1,11,300,0.00025,11,1.0772528985482167e-06,3.310359466789012,3.2541870735057347e-07,2.430547619442083e-06,1.365723343505085e-06,1.7761421693661304e-06,9.421679646327601e-07,573.509130353653,-0.09940199628419209,3.0,False,7.2247848630775895e-16,5.0222099073539916e-08,7.552230125240335e-08,True,False,,
IRMv1,11,300,0.001,delta_C,,,,0.00266903480054749,0.0014280755263509583,0.0019393094361955447,0.0011504025244469555,,,,True,,,,True,True,True,"10,00"
IRMv1,11,300,0.001,delta_K,,,,2.2914470618296972e-05,1.3399711083410861e-05,1.6979036256412587e-05,7.565251773823425e-06,,,,False,,,,True,False,False,"01,00"
IRMv1,11,300,0.001,delta_interaction,,,,0.002663846766191449,0.001425801536890099,0.0019357254044293723,0.0011472300247976465,,,,False,,,,True,False,False,"11,10,01,00"
IRMv1,11,300,0.0005,delta_C,,,,0.001334524072523772,0.0007140271423494835,0.0009696816443420837,0.0005751845345275691,,,,True,,,,True,True,True,"10,00"
IRMv1,11,300,0.0005,delta_K,,,,1.145723508596575e-05,6.699855354198218e-06,8.489517865670493e-06,3.7826261322482797e-06,,,,False,,,,True,False,False,"01,00"
IRMv1,11,300,0.0005,delta_interaction,,,,0.0013319303488691545,0.0007128901233594253,0.0009678900371356429,0.0005735982934675238,,,,False,,,,True,False,False,"11,10,01,00"
IRMv1,11,300,0.00025,delta_C,,,,0.0006672709644772268,0.00035701385503119574,0.0004848556617477315,0.0002875876120790016,,,,True,,,,True,True,True,"10,00"
IRMv1,11,300,0.00025,delta_K,,,,5.728617485764962e-06,3.3499276295860414e-06,4.244758866029768e-06,1.8913131269067534e-06,,,,False,,,,True,False,False,"01,00"
IRMv1,11,300,0.00025,delta_interaction,,,,0.000665974244059672,0.00035644534411191685,0.00048396004797518266,0.0002867944950232619,,,,False,,,,True,False,False,"11,10,01,00"
IRMv1,12,300,0.001,00,5.4404053388513055e-06,3.495083505085019,1.5565880846440532e-06,1.1608963879577572e-05,6.6687542958546074e-06,7.68942745291733e-06,5.582872374072215e-06,4.229173785499006,0.000969728687896461,0.0,True,8.257037746534327e-19,9.026428199943949e-08,1.3520152548628666e-07,True,True,,
IRMv1,12,300,0.0005,00,2.7202026694256528e-06,3.495083505085019,7.782940423220266e-07,5.804481759369642e-06,3.334377054580197e-06,3.844713592913856e-06,2.7914361073124072e-06,4.229173785499006,0.000969728687896461,0.0,True,8.257037746534327e-19,9.026428199943949e-08,1.3520152548628666e-07,True,True,,
