seed,method,step,source_env0_acc,source_env1_acc,target_acc,prediction_color_agreement,raw_grad_disagreement,local_response_disagreement,loss
13,GRAD,500,0.8019199967384338,0.8991600275039673,0.12999999523162842,0.9726999998092651,0.0004440236953087151,0.032252343427953724,0.39674022793769836
13,LOCAL_RESPONSE,0,0.47863999009132385,0.47464001178741455,0.5166000127792358,0.4706999957561493,0.0002870424650609493,0.05949710971138311,0.8725384456022142
13,LOCAL_RESPONSE,100,0.7993999719619751,0.9023200273513794,0.10599999874830246,0.9991000294685364,0.003376685781404376,0.04240419955147368,0.4909584924912861
13,LOCAL_RESPONSE,200,0.7991200089454651,0.9019200205802917,0.10909999907016754,0.9959999918937683,0.0034254449419677258,0.051790622592877644,0.44917977522943203
13,LOCAL_RESPONSE,300,0.7993599772453308,0.9023200273513794,0.10559999942779541,0.9994999766349792,0.004302909132093191,0.047701975959628294,0.4070075621952467
13,LOCAL_RESPONSE,400,0.7996399998664856,0.9020000100135803,0.10989999771118164,0.9947999715805054,0.0006588178221136332,0.019055208387998686,0.391225297085183
13,LOCAL_RESPONSE,500,0.7990800142288208,0.9007599949836731,0.1177000030875206,0.98580002784729,0.0007938170456327498,0.021827433321195237,0.3904519859315041
14,ERM,0,0.5646799802780151,0.5850399732589722,0.4300999939441681,0.5889999866485596,0.0010275532258674502,0.059170090799595655,0.8634746074676514
14,ERM,100,0.7990800142288208,0.9001200199127197,0.10369999706745148,1.0,0.004659580998122692,0.04952424596925584,0.46950003504753113
14,ERM,200,0.7989199757575989,0.9000399708747864,0.10409999638795853,0.9995999932289124,0.0030528244096785784,0.03931819419476357,0.4430930018424988
14,ERM,300,0.7989599704742432,0.8999199867248535,0.10450000315904617,0.9991999864578247,0.002158337039873004,0.06505187483477637,0.40233534574508667
14,ERM,400,0.7991200089454651,0.899399995803833,0.1088000014424324,0.9948999881744385,0.006435949355363846,0.04255488275050007,0.39292803406715393
14,ERM,500,0.7990400195121765,0.8997200131416321,0.11309999972581863,0.9904000163078308,0.0016628457233309746,0.030064035499809245,0.3906172215938568
14,IRMv1,0,0.5646799802780151,0.5850399732589722,0.4300999939441681,0.5889999866485596,0.0010275532258674502,0.059170090799595655,0.8634942770004272
14,IRMv1,100,0.7990800142288208,0.9001200199127197,0.10369999706745148,1.0,0.005022934637963772,0.0518715376820382,0.005692272447049618
14,IRMv1,200,0.7876399755477905,0.877240002155304,0.19099999964237213,0.9042999744415283,0.0027406802400946617,0.037485348252534016,0.003236173652112484
14,IRMv1,300,0.64055997133255,0.6382799744606018,0.6413999795913696,0.38670000433921814,0.001869561499916017,0.04839097890211676,9.916325507219881e-05
14,IRMv1,400,0.6037200093269348,0.593280017375946,0.6802999973297119,0.33340001106262207,0.012422854080796242,0.05380059387850998,7.496910984627903e-05
14,IRMv1,500,0.6093599796295166,0.5990399718284607,0.666700005531311,0.35179999470710754,0.0020642925519496202,0.0465385837083013,0.00025417577126063406
14,GRAD,0,0.5646799802780151,0.5850399732589722,0.4300999939441681,0.5889999866485596,0.0010275532258674502,0.059170090799595655,0.8703862428665161
14,GRAD,100,0.7990400195121765,0.9000399708747864,0.10379999876022339,0.9998999834060669,0.0019130504224449396,0.047280386983030796,0.48251622915267944
14,GRAD,200,0.7991999983787537,0.8998399972915649,0.10570000112056732,0.9980000257492065,0.0016079903580248356,0.035040796137453645,0.45351943373680115
14,GRAD,300,0.798799991607666,0.8997200131416321,0.10660000145435333,0.9970999956130981,0.0005349941202439368,0.07301226240435563,0.4112478792667389
14,GRAD,400,0.7997199892997742,0.8979600071907043,0.11789999902248383,0.9850000143051147,0.0020445340778678656,0.043651164685560295,0.4081752300262451
14,GRAD,500,0.799239993095398,0.8988000154495239,0.11840000003576279,0.984499990940094,0.0005713175632990897,0.03295591207314748,0.3959807753562927
14,LOCAL_RESPONSE,0,0.5646799802780151,0.5850399732589722,0.4300999939441681,0.5889999866485596,0.0010275532258674502,0.059170090799595655,0.8662309870968948
