method,shift_id,lambda,relevance_squared,control_score_c,curvature_ratio,blind_fraction,steering,steering_class,local_vulnerability,actual_target_risk_change,exposure_posthoc,intervention_family_posthoc
L2,U-emergent-1.0,0.0001,0.10236290217217783,0.6944444444444444,0.9999305603777515,0.0,0.0,neutral,0.004524786136750053,4.3142966976716934e-10,U,emergent
L2,S1-relation--1-0.25,0.001,0.0006917238640540102,0.5883393018106385,0.9994121360170495,0.0,1.4572411229646597e-06,harmful,0.0003718521155103181,1.4977197944077147e-06,S1,relation
L2,S1-mean--1-0.25,0.001,0.0023513876484882934,0.5238226477125492,0.9994764703613971,0.0,-4.059131893303505e-06,helpful,0.0006852779542553255,-4.014466638113667e-06,S1,mean
L2,S1-relation-+1-0.25,0.001,0.000607596385055951,0.5089655861320902,0.9994914211652096,0.0,-2.123256927277198e-06,helpful,0.00034850038416367793,-2.0773722128053507e-06,S1,relation
L2,S1-mean-+1-0.25,0.001,0.002351387648488293,0.4840782484542645,0.9995161624021316,0.0,2.019458492596401e-06,harmful,0.000685311050873046,2.061457771818098e-06,S1,mean
L2,S1-variance-0.25,0.001,0.002455110819924973,0.8630695322344472,0.9991377145912963,0.0,-9.990237064687834e-06,helpful,0.0007001204280073433,-9.9449382062744e-06,S1,variance
L2,S1-relation--1-0.5,0.001,0.0029678852251444803,0.6238688454353158,0.9993766461431767,0.0,2.248466441616801e-06,harmful,0.0007702431569632444,2.28646110878028e-06,S1,relation
L2,S1-mean--1-0.5,0.001,0.009712567316798997,0.553790362349973,0.9994465435227396,0.0,-1.0157937187314088e-05,helpful,0.0013927057768826085,-1.011126820427144e-05,S1,mean
L2,S1-relation-+1-0.5,0.001,0.002294865393160023,0.4661666223263419,0.9995341724048094,0.0,-4.912529658866897e-06,helpful,0.0006772759382043371,-4.8637229055348286e-06,S1,relation
L2,S1-mean-+1-0.5,0.001,0.009712567316799004,0.47681422496897224,0.9995234182532062,0.0,1.9992435844856895e-06,harmful,0.001392836054905613,2.040580615814136e-06,S1,mean
L2,S1-variance-0.5,0.001,0.009820443279699921,0.8630695322344473,0.9991377145912963,0.0,-1.99804741293757e-05,helpful,0.0014002408560146887,-1.9932985099613276e-05,S1,variance
L2,S1-relation--1-1.0,0.001,0.013741337539464145,0.6856600483769424,0.9993149239711494,0.0,1.8328696659835385e-06,harmful,0.0016573506075691733,1.8663343583913417e-06,S1,relation
L2,S1-mean--1-1.0,0.001,0.04376253683272921,0.6226742544936366,0.9993777551811506,0.0,-2.8474567977456587e-05,helpful,0.0029561017295340513,-2.8422550058970764e-05,S1,mean
L2,S1-relation-+1-1.0,0.001,0.008357178883588494,0.37903153301099995,0.9996212104105755,0.0,-1.24891225349839e-05,helpful,0.0012923762770125395,-1.2434033669794786e-05,S1,relation
L2,S1-mean-+1-1.0,0.001,0.043762536832729265,0.4860028510130237,0.9995142465362968,0.0,-4.160206433857027e-06,helpful,0.0029565927339450975,-4.118852418577568e-06,S1,mean
L2,S1-variance-1.0,0.001,0.03928177311879963,0.8630695322344473,0.9991377145912963,0.0,-3.9960948258751364e-05,helpful,0.002800481712029375,-3.990907888629103e-05,S1,variance
L2,S2-relation--1-0.25,0.001,0.0005652361647570547,0.7211412494579069,0.9992794396443617,0.0,2.3473386449122837e-06,harmful,0.0003362344575813096,2.3896160328273908e-06,S2,relation
L2,S2-mean--1-0.25,0.001,0.0008779851951268903,0.5071493165991059,0.9994931186745843,0.0,-2.0506660414616013e-06,helpful,0.0004188339972727696,-2.0071223179041198e-06,S2,mean
L2,S2-relation-+1-0.25,0.001,0.0004927389512466441,0.6965890713945313,0.999303967403675,0.0,-2.4735768292875355e-06,helpful,0.00031394113524237533,-2.4296227932874004e-06,S2,relation
L2,S2-mean-+1-0.25,0.001,0.000877985195126891,0.4989096574808727,0.9995013526214545,0.0,1.6640616018124071e-06,harmful,0.0004188548637823465,1.7067782767110629e-06,S2,mean
L2,S2-variance-0.25,0.001,0.0009003570023965495,0.7834861591082698,0.9992171488749634,0.0,-1.8935727656287324e-06,helpful,0.0004240876742435382,-1.8502533480901917e-06,S2,variance
L2,S2-relation--1-0.5,0.001,0.00241794384608098,0.7314574793652026,0.9992691336355686,0.0,4.56843910544932e-06,harmful,0.0006954146926364944,4.609899242113968e-06,S2,relation
L2,S2-mean--1-0.5,0.001,0.0036245322994010055,0.5197252239152748,0.999480556936394,0.0,-4.487936522572408e-06,helpful,0.0008509661400063675,-4.443914738527788e-06,S2,mean
L2,S2-relation-+1-0.5,0.001,0.0018379661379977136,0.6820554090531951,0.9993184865599604,0.0,-5.073391842950306e-06,helpful,0.0006063373666474012,-5.028578410115614e-06,S2,relation
L2,S2-mean-+1-0.5,0.001,0.003624532299401007,0.5037578148900681,0.9994965132758109,0.0,2.9415187639756194e-06,harmful,0.0008510482997917744,2.9838864505915552e-06,S2,mean
L2,S2-variance-0.5,0.001,0.003601428009586209,0.7834861591082698,0.9992171488749635,0.0,-3.7871455312574707e-06,helpful,0.0008481753484870777,-3.743615383466903e-06,S2,variance
L2,S2-relation--1-1.0,0.001,0.011023806961001728,0.7488373313963753,0.9992517709366764,0.0,8.63192547339764e-06,harmful,0.0014848190596334558,8.671793254144688e-06,S2,relation
L2,S2-mean--1-1.0,0.001,0.01629959349989912,0.5559779493953934,0.9994443481343276,0.0,-1.0522290803741615e-05,helpful,0.0018044789823253335,-1.04771838265183e-05,S2,mean
L2,S2-relation-+1-1.0,0.001,0.006383985296335569,0.6476849610374783,0.9993528225798628,0.0,-1.065173642340161e-05,helpful,0.0011300596884750544,-1.0605162050425498e-05,S2,relation
L2,S2-mean-+1-1.0,0.001,0.016299593499899127,0.5275726325388882,0.999472733758839,0.0,4.336619769354431e-06,harmful,0.0018047889335827988,4.3784185520534535e-06,S2,mean
L2,S2-variance-1.0,0.001,0.014405712038344811,0.7834861591082699,0.9992171488749635,0.0,-7.574291062514936e-06,helpful,0.0016963506969741539,-7.530339454331347e-06,S2,variance
L2,U-emergent-0.25,0.001,0.006397681385761115,0.6944444444444444,0.9993060374739763,0.0,0.0,neutral,0.0011314721003543439,4.31086872865194e-08,U,emergent
L2,U-emergent-0.5,0.001,0.02559072554304446,0.6944444444444444,0.9993060374739763,0.0,0.0,neutral,0.0022629442007086878,4.31086872865194e-08,U,emergent
L2,U-emergent-1.0,0.001,0.10236290217217783,0.6944444444444444,0.9993060374739763,0.0,0.0,neutral,0.0045258884014173755,4.31086872865194e-08,U,emergent
L2,S1-relation--1-0.25,0.01,0.0006917238640540102,0.5883393018106385,0.9941637588606691,0.0,1.4722472819864047e-05,harmful,0.00037100528782644653,1.8738400872964078e-05,S1,relation
L2,S1-mean--1-0.25,0.01,0.0023513876484882934,0.5238226477125492,0.9947909147274845,0.0,-4.028388804569598e-05,helpful,0.0006809047264725764,-3.585396671901275e-05,S1,mean
L2,S1-relation-+1-0.25,0.01,0.000607596385055951,0.5089655861320902,0.9949487151427066,0.0,-2.13400884506811e-05,helpful,0.0003476491263640867,-1.6788199233119805e-05,S1,relation
