diagnostic_only,frobenius_norm,linear_index,method,module,nuclear_norm,penalized_by_weight_nuclear,seed,singular_value_max,singular_value_min,stable_rank,stage
True,1.007058954518194,1,STABLE_RANK_NORM,encoder.2,1.301372613822172,True,11,1.0000002648793689,5.8950687518911414e-08,1.0141672006112707,final
True,2.478014295210095,2,STABLE_RANK_NORM,head,2.478014295210095,False,11,2.478014295210095,2.478014295210095,1.0,final
True,10.469490127304782,0,SAM,encoder.0,82.02333861020952,True,11,1.781586291002532,0.7538478573712983,34.53324095756309,initial
True,7.967820920741748,1,SAM,encoder.2,54.39860349225954,True,11,1.9523263036349086,0.019800467093747314,16.65613829597273,initial
True,1.3149515246160564,2,SAM,head,1.3149515246160564,False,11,1.3149515246160564,1.3149515246160564,1.0,initial
True,3.7206323421755125,0,SAM,encoder.0,23.28422128348877,True,11,1.5578895623844842,0.007397500497867018,5.703746018210225,final
True,3.518495166759223,1,SAM,encoder.2,20.298819858167306,True,11,1.571377406891163,0.00035204359985361715,5.0136372495048915,final
True,1.4173098606051964,2,SAM,head,1.4173098606051961,False,11,1.4173098606051961,1.4173098606051961,1.0000000000000002,final
True,10.469490127304782,0,ASAM,encoder.0,82.02333861020952,True,11,1.781586291002532,0.7538478573712983,34.53324095756309,initial
True,7.967820920741748,1,ASAM,encoder.2,54.39860349225954,True,11,1.9523263036349086,0.019800467093747314,16.65613829597273,initial
True,1.3149515246160564,2,ASAM,head,1.3149515246160564,False,11,1.3149515246160564,1.3149515246160564,1.0,initial
True,3.8664349430860585,0,ASAM,encoder.0,25.881516748277214,True,11,1.3834300692170354,0.06526891197657063,7.81100637593585,final
True,3.7744185568910043,1,ASAM,encoder.2,21.622073820422735,True,11,1.8556409843564032,0.0004886800265765933,4.137254201087103,final
True,1.7476258613166,2,ASAM,head,1.7476258613166,False,11,1.7476258613166,1.7476258613166,1.0000000000000002,final
True,10.50962022378053,0,ERM,encoder.0,82.33792467261812,True,12,1.7818460741787217,0.8065269560058287,34.78833761438515,initial
True,8.027684552172582,1,ERM,encoder.2,54.384238311024646,True,12,1.9499547069140009,0.007439102729612492,16.948510998250917,initial
True,1.3661325268692344,2,ERM,head,1.3661325268692344,False,12,1.3661325268692344,1.3661325268692344,1.0000000000000002,initial
True,3.4570971571296942,0,ERM,encoder.0,23.036386777354174,True,12,1.2058069280130284,0.07779980864474358,8.219920559726964,final
True,3.4142819813737857,1,ERM,encoder.2,16.12041313587275,True,12,2.285783236671655,7.750465519319337e-05,2.2311495715281784,final
True,1.8952248671004683,2,ERM,head,1.8952248671004683,False,12,1.8952248671004683,1.8952248671004683,0.9999999999999999,final
True,10.50962022378053,0,IRMv1,encoder.0,82.33792467261812,True,12,1.7818460741787217,0.8065269560058287,34.78833761438515,initial
True,8.027684552172582,1,IRMv1,encoder.2,54.384238311024646,True,12,1.9499547069140009,0.007439102729612492,16.948510998250917,initial
True,1.3661325268692344,2,IRMv1,head,1.3661325268692344,False,12,1.3661325268692344,1.3661325268692344,1.0000000000000002,initial
True,5.620339176949413,0,IRMv1,encoder.0,41.80661238213189,True,12,1.4836445118742627,0.2511614183874636,14.350444109450043,final
True,6.0847356236690615,1,IRMv1,encoder.2,40.401817688517085,True,12,1.5682844951568295,0.003022068273204298,15.05336974020565,final
True,1.4262627521599707,2,IRMv1,head,1.426262752159971,False,12,1.426262752159971,1.426262752159971,0.9999999999999998,final
True,10.50962022378053,0,VREX,encoder.0,82.33792467261812,True,12,1.7818460741787217,0.8065269560058287,34.78833761438515,initial
True,8.027684552172582,1,VREX,encoder.2,54.384238311024646,True,12,1.9499547069140009,0.007439102729612492,16.948510998250917,initial
True,1.3661325268692344,2,VREX,head,1.3661325268692344,False,12,1.3661325268692344,1.3661325268692344,1.0000000000000002,initial
True,5.7170399428171645,0,VREX,encoder.0,42.99777756256983,True,12,1.2900081313846423,0.2739404666630366,19.64072691797405,final
True,6.097212982240001,1,VREX,encoder.2,40.636628494444025,True,12,1.4834525835753525,0.0015598321130938912,16.893334939012025,final
True,1.347762844305877,2,VREX,head,1.3477628443058767,False,12,1.3477628443058767,1.3477628443058767,1.0000000000000004,final
True,10.50962022378053,0,CORAL,encoder.0,82.33792467261812,True,12,1.7818460741787217,0.8065269560058287,34.78833761438515,initial
True,8.027684552172582,1,CORAL,encoder.2,54.384238311024646,True,12,1.9499547069140009,0.007439102729612492,16.948510998250917,initial
True,1.3661325268692344,2,CORAL,head,1.3661325268692344,False,12,1.3661325268692344,1.3661325268692344,1.0000000000000002,initial
True,3.4510442100434506,0,CORAL,encoder.0,23.04048434545702,True,12,1.2065473440757732,0.07727337700643075,8.181111465332119,final
True,3.3971533411438553,1,CORAL,encoder.2,16.00671887182044,True,12,2.281809732784039,0.00034916716890739133,2.2165189296806735,final
True,1.9026375766116566,2,CORAL,head,1.9026375766116566,False,12,1.9026375766116566,1.9026375766116566,1.0,final
True,10.50962022378053,0,FISHR,encoder.0,82.33792467261812,True,12,1.7818460741787217,0.8065269560058287,34.78833761438515,initial
True,8.027684552172582,1,FISHR,encoder.2,54.384238311024646,True,12,1.9499547069140009,0.007439102729612492,16.948510998250917,initial
True,1.3661325268692344,2,FISHR,head,1.3661325268692344,False,12,1.3661325268692344,1.3661325268692344,1.0000000000000002,initial
True,5.489096172036754,0,FISHR,encoder.0,41.13186347010278,True,12,1.2777399414494512,0.24865645747985152,18.455114254700096,final
True,5.805241830959933,1,FISHR,encoder.2,38.42333084742038,True,12,1.4257631054684954,0.004272573511931024,16.578524960070887,final
True,1.3680295106954137,2,FISHR,head,1.3680295106954137,False,12,1.3680295106954137,1.3680295106954137,1.0000000000000002,final
True,10.50962022378053,0,MLDG,encoder.0,82.33792467261812,True,12,1.7818460741787217,0.8065269560058287,34.78833761438515,initial
True,8.027684552172582,1,MLDG,encoder.2,54.384238311024646,True,12,1.9499547069140009,0.007439102729612492,16.948510998250917,initial
True,1.3661325268692344,2,MLDG,head,1.3661325268692344,False,12,1.3661325268692344,1.3661325268692344,1.0000000000000002,initial
True,4.806818631237201,0,MLDG,encoder.0,34.319963088408386,True,12,1.3272649037347235,0.09524960798999249,13.115965035962295,final
True,4.734867150466294,1,MLDG,encoder.2,25.975886048555793,True,12,2.618223985489468,0.00015462009591269376,3.270408494838498,final
True,1.9252235540438045,2,MLDG,head,1.9252235540438047,False,12,1.9252235540438047,1.9252235540438047,0.9999999999999999,final
True,10.50962022378053,0,SPECTRAL_NORM_REG,encoder.0,82.33792467261812,True,12,1.7818460741787217,0.8065269560058287,34.78833761438515,initial
True,8.027684552172582,1,SPECTRAL_NORM_REG,encoder.2,54.384238311024646,True,12,1.9499547069140009,0.007439102729612492,16.948510998250917,initial
True,1.3661325268692344,2,SPECTRAL_NORM_REG,head,1.3661325268692344,False,12,1.3661325268692344,1.3661325268692344,1.0000000000000002,initial
True,3.1666559220314725,0,SPECTRAL_NORM_REG,encoder.0,25.31771659115111,True,12,0.4221723339540101,0.37407462680650055,56.26291314718331,final
True,4.0786082298625885,1,SPECTRAL_NORM_REG,encoder.2,30.48565146302024,True,12,0.6023614107073981,0.011607264437320379,45.846870801867,final
True,0.13335715651975047,2,SPECTRAL_NORM_REG,head,0.13335715651975047,False,12,0.13335715651975047,0.13335715651975047,1.0000000000000002,final
True,10.50962022378053,0,SPECTRAL_REG_2024,encoder.0,82.33792467261812,True,12,1.7818460741787217,0.8065269560058287,34.78833761438515,initial
True,8.027684552172582,1,SPECTRAL_REG_2024,encoder.2,54.384238311024646,True,12,1.9499547069140009,0.007439102729612492,16.948510998250917,initial
True,1.3661325268692344,2,SPECTRAL_REG_2024,head,1.3661325268692344,False,12,1.3661325268692344,1.3661325268692344,1.0000000000000002,initial
True,7.79627208706939,0,SPECTRAL_REG_2024,encoder.0,62.27786969469949,True,12,1.0070965664723022,0.7816130219563711,59.928270482563775,final
True,6.220822115399385,1,SPECTRAL_REG_2024,encoder.2,44.48392093715077,True,12,1.031892528107433,0.015369448649532984,36.343490059209664,final
True,1.0081467920162166,2,SPECTRAL_REG_2024,head,1.0081467920162162,False,12,1.0081467920162162,1.0081467920162162,1.0000000000000007,final
True,10.50962022378053,0,SVB_ORTHDNN,encoder.0,82.33792467261812,True,12,1.7818460741787217,0.8065269560058287,34.78833761438515,initial
True,8.027684552172582,1,SVB_ORTHDNN,encoder.2,54.384238311024646,True,12,1.9499547069140009,0.007439102729612492,16.948510998250917,initial
True,1.3661325268692344,2,SVB_ORTHDNN,head,1.3661325268692344,False,12,1.3661325268692344,1.3661325268692344,1.0000000000000002,initial
True,7.6759035086329535,0,SVB_ORTHDNN,encoder.0,61.389598389017436,True,12,1.0500002934296102,0.9523797336037086,53.44168865574028,final
True,7.683664545135646,1,SVB_ORTHDNN,encoder.2,61.44821083054305,True,12,1.0500000411958421,0.952379322710359,53.54983783175512,final
True,1.050000099512164,2,SVB_ORTHDNN,head,1.0500000995121643,False,12,1.0500000995121643,1.0500000995121643,0.9999999999999998,final
True,10.50962022378053,0,STABLE_RANK_NORM,encoder.0,82.33792467261812,True,12,1.7818460741787217,0.8065269560058287,34.78833761438515,initial
True,8.027684552172582,1,STABLE_RANK_NORM,encoder.2,54.384238311024646,True,12,1.9499547069140009,0.007439102729612492,16.948510998250917,initial
True,1.3661325268692344,2,STABLE_RANK_NORM,head,1.3661325268692344,False,12,1.3661325268692344,1.3661325268692344,1.0000000000000002,initial
True,1.270629079145692,0,STABLE_RANK_NORM,encoder.0,4.033501151534978,True,12,1.000000300164226,3.9326003436919654e-08,1.6144972875418107,final
True,1.0125020821623976,1,STABLE_RANK_NORM,encoder.2,1.3865873709007095,True,12,1.0000001756278731,5.8059534523919956e-08,1.0251601062897815,final
True,2.5560942617917757,2,STABLE_RANK_NORM,head,2.556094261791776,False,12,2.556094261791776,2.556094261791776,0.9999999999999998,final
True,10.50962022378053,0,SAM,encoder.0,82.33792467261812,True,12,1.7818460741787217,0.8065269560058287,34.78833761438515,initial
True,8.027684552172582,1,SAM,encoder.2,54.384238311024646,True,12,1.9499547069140009,0.007439102729612492,16.948510998250917,initial
True,1.3661325268692344,2,SAM,head,1.3661325268692344,False,12,1.3661325268692344,1.3661325268692344,1.0000000000000002,initial
True,3.6374774700174233,0,SAM,encoder.0,22.890940396925657,True,12,1.5465195142719614,0.007972339470758451,5.5320973680203425,final
True,3.5749726257859096,1,SAM,encoder.2,20.571813095279218,True,12,1.5338747909415147,0.00034218295135131837,5.432073298223088,final
True,1.4245971474525854,2,SAM,head,1.4245971474525854,False,12,1.4245971474525854,1.4245971474525854,1.0000000000000004,final
True,10.50962022378053,0,ASAM,encoder.0,82.33792467261812,True,12,1.7818460741787217,0.8065269560058287,34.78833761438515,initial
True,8.027684552172582,1,ASAM,encoder.2,54.384238311024646,True,12,1.9499547069140009,0.007439102729612492,16.948510998250917,initial
True,1.3661325268692344,2,ASAM,head,1.3661325268692344,False,12,1.3661325268692344,1.3661325268692344,1.0000000000000002,initial
True,3.8205277625162,0,ASAM,encoder.0,25.891079354371527,True,12,1.400791759629161,0.008052910825672163,7.438743148309547,final
True,3.8443859034966947,1,ASAM,encoder.2,22.189053535821692,True,12,1.8465848806775487,0.0005536781107993521,4.3342644078240244,final
True,1.801525047903641,2,ASAM,head,1.8015250479036409,False,12,1.8015250479036409,1.8015250479036409,1.0000000000000002,final
True,10.489700807185612,0,ERM,encoder.0,82.14046339165567,True,13,1.8027082423025045,0.7883499934978909,33.859092477318335,initial
True,7.912497345062208,1,ERM,encoder.2,53.810568929418224,True,13,1.8668133359008137,0.020477087372677463,17.964923212724408,initial
True,1.2322951757133913,2,ERM,head,1.2322951757133915,False,13,1.2322951757133915,1.2322951757133915,0.9999999999999997,initial
True,3.3003021146115348,0,ERM,encoder.0,21.52047729199376,True,13,1.1109277567682627,0.05340929040694626,8.825427663198356,final
True,3.354525202291158,1,ERM,encoder.2,15.857868199175098,True,13,2.2533824050011817,7.398337670902412e-05,2.2161151375444637,final
True,1.8416734978687985,2,ERM,head,1.8416734978687985,False,13,1.8416734978687985,1.8416734978687985,0.9999999999999999,final
True,10.489700807185612,0,IRMv1,encoder.0,82.14046339165567,True,13,1.8027082423025045,0.7883499934978909,33.859092477318335,initial
True,7.912497345062208,1,IRMv1,encoder.2,53.810568929418224,True,13,1.8668133359008137,0.020477087372677463,17.964923212724408,initial
True,1.2322951757133913,2,IRMv1,head,1.2322951757133915,False,13,1.2322951757133915,1.2322951757133915,0.9999999999999997,initial
True,5.464001377018067,0,IRMv1,encoder.0,40.863128670022355,True,13,1.454398344745856,0.26336874369532914,14.11415417247386,final
True,5.9419310941043175,1,IRMv1,encoder.2,39.26249378740691,True,13,1.5757163710457955,0.0021877017233254206,14.219984663509901,final
True,1.3034276052890112,2,IRMv1,head,1.3034276052890115,False,13,1.3034276052890115,1.3034276052890115,1.0,final
True,10.489700807185612,0,VREX,encoder.0,82.14046339165567,True,13,1.8027082423025045,0.7883499934978909,33.859092477318335,initial
True,7.912497345062208,1,VREX,encoder.2,53.810568929418224,True,13,1.8668133359008137,0.020477087372677463,17.964923212724408,initial
True,1.2322951757133913,2,VREX,head,1.2322951757133915,False,13,1.2322951757133915,1.2322951757133915,0.9999999999999997,initial
True,5.604148296844708,0,VREX,encoder.0,42.28624363842913,True,13,1.3321344553397412,0.26649390873883266,17.697956176565548,final
True,5.9484419254522045,1,VREX,encoder.2,39.289754664244114,True,13,1.4929678311783598,0.011842112310088729,15.874700908741945,final
True,1.213358377659701,2,VREX,head,1.2133583776597012,False,13,1.2133583776597012,1.2133583776597012,0.9999999999999996,final
True,10.489700807185612,0,CORAL,encoder.0,82.14046339165567,True,13,1.8027082423025045,0.7883499934978909,33.859092477318335,initial
True,7.912497345062208,1,CORAL,encoder.2,53.810568929418224,True,13,1.8668133359008137,0.020477087372677463,17.964923212724408,initial
True,1.2322951757133913,2,CORAL,head,1.2322951757133915,False,13,1.2322951757133915,1.2322951757133915,0.9999999999999997,initial
True,3.2936191938144774,0,CORAL,encoder.0,21.440245888000437,True,13,1.115601551967123,0.04991495690378297,8.71622736164602,final
True,3.3466247683738453,1,CORAL,encoder.2,15.751475752714537,True,13,2.2647098954570994,0.00021294346856463558,2.183679446875766,final
True,1.8519996140196004,2,CORAL,head,1.8519996140196007,False,13,1.8519996140196007,1.8519996140196007,1.0,final
True,10.489700807185612,0,FISHR,encoder.0,82.14046339165567,True,13,1.8027082423025045,0.7883499934978909,33.859092477318335,initial
True,7.912497345062208,1,FISHR,encoder.2,53.810568929418224,True,13,1.8668133359008137,0.020477087372677463,17.964923212724408,initial
True,1.2322951757133913,2,FISHR,head,1.2322951757133915,False,13,1.2322951757133915,1.2322951757133915,0.9999999999999997,initial
True,5.322398301833747,0,FISHR,encoder.0,40.05298762412535,True,13,1.2724040948255018,0.1869183123355391,17.497041729551295,final
True,5.673482394476422,1,FISHR,encoder.2,37.14010391273021,True,13,1.4424620038859775,0.005251449591885488,15.470012290722517,final
True,1.2674687073120139,2,FISHR,head,1.2674687073120137,False,13,1.2674687073120137,1.2674687073120137,1.0,final
True,10.489700807185612,0,MLDG,encoder.0,82.14046339165567,True,13,1.8027082423025045,0.7883499934978909,33.859092477318335,initial
True,7.912497345062208,1,MLDG,encoder.2,53.810568929418224,True,13,1.8668133359008137,0.020477087372677463,17.964923212724408,initial
True,1.2322951757133913,2,MLDG,head,1.2322951757133915,False,13,1.2322951757133915,1.2322951757133915,0.9999999999999997,initial
True,4.546154114617917,0,MLDG,encoder.0,31.946826755028194,True,13,1.3215110091785036,0.10601660583801877,11.834413440528996,final
True,4.584147390650011,1,MLDG,encoder.2,24.98100203023464,True,13,2.5449682322089617,0.00017860440798264448,3.2445346329330143,final
True,1.875004682922403,2,MLDG,head,1.875004682922403,False,13,1.875004682922403,1.875004682922403,0.9999999999999998,final
True,10.489700807185612,0,SPECTRAL_NORM_REG,encoder.0,82.14046339165567,True,13,1.8027082423025045,0.7883499934978909,33.859092477318335,initial
True,7.912497345062208,1,SPECTRAL_NORM_REG,encoder.2,53.810568929418224,True,13,1.8668133359008137,0.020477087372677463,17.964923212724408,initial
True,1.2322951757133913,2,SPECTRAL_NORM_REG,head,1.2322951757133915,False,13,1.2322951757133915,1.2322951757133915,0.9999999999999997,initial
True,3.13749279380552,0,SPECTRAL_NORM_REG,encoder.0,25.083510160028,True,13,0.4206439230518624,0.3700042096724696,55.63348113086591,final
True,3.99374691937897,1,SPECTRAL_NORM_REG,encoder.2,29.937393365246987,True,13,0.5893963923853175,0.021432026965514307,45.91410620647865,final
True,0.12809444807197976,2,SPECTRAL_NORM_REG,head,0.12809444807197976,False,13,0.12809444807197976,0.12809444807197976,1.0000000000000002,final
True,10.489700807185612,0,SPECTRAL_REG_2024,encoder.0,82.14046339165567,True,13,1.8027082423025045,0.7883499934978909,33.859092477318335,initial
True,7.912497345062208,1,SPECTRAL_REG_2024,encoder.2,53.810568929418224,True,13,1.8668133359008137,0.020477087372677463,17.964923212724408,initial
True,1.2322951757133913,2,SPECTRAL_REG_2024,head,1.2322951757133915,False,13,1.2322951757133915,1.2322951757133915,0.9999999999999997,initial
True,7.781321024221974,0,SPECTRAL_REG_2024,encoder.0,62.14343744961733,True,13,1.0073313599465872,0.7433344775743392,59.67081322496897,final
True,6.166587063838183,1,SPECTRAL_REG_2024,encoder.2,44.178220613928715,True,13,1.02308373647701,0.023492821068624152,36.33016524310476,final
True,1.0076806969832561,2,SPECTRAL_REG_2024,head,1.0076806969832561,False,13,1.0076806969832561,1.0076806969832561,1.0,final
