O_norm,O_normalized_norm,O_rank_primary,basis_index,finite,method,opaque_direction_id,seed
1.4838626093893637,2.3360290223898565,3,0,True,SVB_ORTHDNN,u000,11
1.494573712053221,2.3528913966597123,3,1,True,SVB_ORTHDNN,u001,11
0.0,0.0,3,2,True,SVB_ORTHDNN,u002,11
0.19760001022787846,0.31107958095043114,3,3,True,SVB_ORTHDNN,u003,11
0.0,0.0,3,4,True,SVB_ORTHDNN,u004,11
1.4892277905519284,2.344475369664075,3,-1,True,SVB_ORTHDNN,u005,11
1.4892277905519284,2.344475369664075,3,-1,True,SVB_ORTHDNN,u006,11
1.0530430694307278,1.6577944322143048,3,-1,True,SVB_ORTHDNN,u007,11
1.0530430694307278,1.6577944322143048,3,-1,True,SVB_ORTHDNN,u008,11
0.13972430719466403,0.21996648117871945,3,-1,True,SVB_ORTHDNN,u009,11
0.13972430719466403,0.21996648117871945,3,-1,True,SVB_ORTHDNN,u010,11
0.6116242740193963,2.3722213461133186,3,0,True,STABLE_RANK_NORM,u000,11
0.6187250270453062,2.399762041630266,3,1,True,STABLE_RANK_NORM,u001,11
0.0,0.0,3,2,True,STABLE_RANK_NORM,u002,11
0.05878898913214236,0.22801661225641498,3,3,True,STABLE_RANK_NORM,u003,11
0.0,0.0,3,4,True,STABLE_RANK_NORM,u004,11
0.6151848956460035,2.3860314301581553,3,-1,True,STABLE_RANK_NORM,u005,11
0.6151848956460035,2.3860314301581553,3,-1,True,STABLE_RANK_NORM,u006,11
0.43500141139482773,1.687179004389068,3,-1,True,STABLE_RANK_NORM,u007,11
0.43500141139482773,1.687179004389068,3,-1,True,STABLE_RANK_NORM,u008,11
0.04157009287444011,0.16123209274969466,3,-1,True,STABLE_RANK_NORM,u009,11
0.04157009287444011,0.16123209274969466,3,-1,True,STABLE_RANK_NORM,u010,11
0.9377362713514419,2.2567047710168566,3,0,True,SAM,u000,11
0.9599237044055002,2.310099832676944,3,1,True,SAM,u001,11
0.0,0.0,3,2,True,SAM,u002,11
0.180007168379293,0.4331953963061989,3,3,True,SAM,u003,11
0.0,0.0,3,4,True,SAM,u004,11
0.9488948395074355,2.283558370226639,3,-1,True,SAM,u005,11
0.9488948395074355,2.283558370226639,3,-1,True,SAM,u006,11
0.6709699756486283,1.614719608822557,3,-1,True,SAM,u007,11
0.6709699756486283,1.614719608822557,3,-1,True,SAM,u008,11
0.12728428942318679,0.30631540230690724,3,-1,True,SAM,u009,11
0.12728428942318679,0.30631540230690724,3,-1,True,SAM,u010,11
0.8876059631496791,2.2579492948584026,3,0,True,ASAM,u000,11
0.9079252452897254,2.3096387952503794,3,1,True,ASAM,u001,11
0.0,0.0,3,2,True,ASAM,u002,11
0.16998228907547536,0.43241190989121786,3,3,True,ASAM,u003,11
0.0,0.0,3,4,True,ASAM,u004,11
0.897823088601891,2.2839402775332354,3,-1,True,ASAM,u005,11
0.897823088601891,2.2839402775332354,3,-1,True,ASAM,u006,11
0.6348567942562475,1.6149896580688359,3,-1,True,ASAM,u007,11
0.6348567942562475,1.6149896580688359,3,-1,True,ASAM,u008,11
0.12019562928688063,0.3057613937499065,3,-1,True,ASAM,u009,11
0.12019562928688063,0.3057613937499065,3,-1,True,ASAM,u010,11
0.9114771600917186,2.2531967053682624,3,0,True,ERM,u000,12
0.9112094481442992,2.2525349140427915,3,1,True,ERM,u001,12
0.0,0.0,3,2,True,ERM,u002,12
0.19994452272586383,0.49426838058894684,3,3,True,ERM,u003,12
0.0,0.0,3,4,True,ERM,u004,12
0.9113433139482352,2.252865834006118,3,-1,True,ERM,u005,12
0.9113433139482352,2.252865834006118,3,-1,True,ERM,u006,12
0.6444170372818178,1.5930167083292126,3,-1,True,ERM,u007,12
0.6444170372818178,1.5930167083292126,3,-1,True,ERM,u008,12
0.14138212788056606,0.3495005236405376,3,-1,True,ERM,u009,12
0.14138212788056606,0.3495005236405376,3,-1,True,ERM,u010,12
