checkpoint,gradient_norm,hessian_top_eigenvalue,hessian_trace_estimate,hutchinson_probes,method,random_direction_max_delta,random_direction_mean_delta,sam_sharpness_delta,seed,sharpness_rho,source_loss,variant
500,0.36749977308492304,3.5385119810041674,11.858530539109225,4,STABLE_RANK_NORM,0.00010436773300170898,-6.386637687683105e-05,0.0038180649280548096,11,0.01,0.3453199565410614,SRN_TARGET8_SIGMA1_TARGET1_ALL_LINEAR
500,0.36749977308492304,3.5385119810041674,11.858530539109225,4,STABLE_RANK_NORM,0.00010436773300170898,-6.386637687683105e-05,0.021868199110031128,11,0.05,0.3453199565410614,SRN_TARGET8_SIGMA1_TARGET1_ALL_LINEAR
500,0.21646599489301027,1.5555936841594316,7.95461688934753,4,SAM,0.00010293722152709961,1.866370439529419e-05,0.0021760761737823486,11,0.01,0.315036803483963,SAM_RHO0P05_COMMON_ADAM
500,0.21646599489301027,1.5555936841594316,7.95461688934753,4,SAM,0.00010293722152709961,1.866370439529419e-05,0.011153489351272583,11,0.05,0.315036803483963,SAM_RHO0P05_COMMON_ADAM
500,0.26330072079861644,1.8624135890394484,9.862147382542325,4,ASAM,0.0001742541790008545,1.8171966075897217e-05,0.0026673078536987305,11,0.01,0.31339025497436523,ASAM_RHO0P5_ETA0P01_COMMON_ADAM
500,0.26330072079861644,1.8624135890394484,9.862147382542325,4,ASAM,0.0001742541790008545,1.8171966075897217e-05,0.01376420259475708,11,0.05,0.31339025497436523,ASAM_RHO0P5_ETA0P01_COMMON_ADAM
500,0.34534080128753053,4.269791695819947,17.719142286501736,4,ERM,9.557604789733887e-05,3.620237112045288e-05,0.003489077091217041,12,0.01,0.31283000111579895,ERM_CANONICAL
500,0.34534080128753053,4.269791695819947,17.719142286501736,4,ERM,9.557604789733887e-05,3.620237112045288e-05,0.018768608570098877,12,0.05,0.31283000111579895,ERM_CANONICAL
500,1.12668478834252,4.297958864000561,17.272397804126143,4,IRMv1,0.0002504587173461914,-0.00011517107486724854,0.011381030082702637,12,0.01,0.6280159950256348,IRMv1_CANONICAL
500,1.12668478834252,4.297958864000561,17.272397804126143,4,IRMv1,0.0002504587173461914,-0.00011517107486724854,0.05913674831390381,12,0.05,0.6280159950256348,IRMv1_CANONICAL
500,0.5507187293507831,0.41635693343893826,-1.4367807538185162,4,VREX,0.00016677379608154297,-5.185604095458984e-06,0.00552976131439209,12,0.01,0.6765626668930054,VREX_LAMBDA10000_ANNEAL100_RESCALE
500,0.5507187293507831,0.41635693343893826,-1.4367807538185162,4,VREX,0.00016677379608154297,-5.185604095458984e-06,0.028032898902893066,12,0.05,0.6765626668930054,VREX_LAMBDA10000_ANNEAL100_RESCALE
500,0.3385836443097766,4.083934258577543,17.82169611719548,4,CORAL,0.00013372302055358887,7.326900959014893e-05,0.003435581922531128,12,0.01,0.31325265765190125,CORAL_GAMMA1_SOURCE_ONLY
