method,lambda,source_design,valid,norm_z0,pi_O_operator_norm,A_irreducible_operator_norm,A_recoverable_operator_norm,E_operator_norm,decomposition_residual,affine_regret,information_floor,total_excess,min_local_metric_eigenvalue,condition_number,fd_error_max,fd_errors,factorization_residual,spectral_slack_min_eigenvalue,seed,status
ERM,0.0,mechanism_defined_exposed,True,0.0,3.8913193214221136,5.834616289579606,16.50278697593293,17.388618856878796,2.1209674454514003e-15,167.44409516081902,17.021373623313856,150.42272153750517,0.0021314551050129484,7886.384440518571,1.62809236055624e-05,"[1.62809236055624e-05, 4.0701984342507764e-06, 1.0175465875157612e-06]",0.0,-300.8454430750101,0,PASS
L2,0.001,mechanism_defined_exposed,True,0.1986584266721884,4.129515310747727,5.834616289579606,16.50278697593293,17.499209337303828,2.1209674454514003e-15,169.4503452831878,17.021373623313856,152.42897165987395,0.0031314551050129445,5368.26293595177,1.546620282674283e-05,"[1.546620282674283e-05, 3.866520129732106e-06, 9.666267873075478e-07]",0.0,-304.53385100849044,0,PASS
L2,0.01,mechanism_defined_exposed,True,0.7633877450426604,4.917601606146079,5.834616289579606,16.50278697593293,17.949344148101947,2.1209674454514003e-15,178.03370691960947,17.021373623313856,161.01233329629562,0.012131455105012939,1386.4350343997764,1.267123500681996e-05,"[1.267123500681996e-05, 3.1677848586125597e-06, 7.919431712195155e-07]",0.0,-319.9111959787747,0,PASS
L2,0.1,mechanism_defined_exposed,True,1.2970756040327491,5.970844275486943,5.834616289579606,16.50278697593293,18.628580268701327,2.1209674454514003e-15,191.82326934237528,17.021373623313856,174.80189571906143,0.10213145510501294,165.5657834156128,7.786203325326783e-06,"[7.786203325326783e-06, 1.9465442265884758e-06, 4.866349951844029e-07]",0.0,-343.9390649778883,0,PASS
IRMV1,0.001,mechanism_defined_exposed,True,0.00034725545725120975,3.8897309612579036,5.834616289579606,16.50278697593293,17.38756368406729,2.1209674454514003e-15,167.43025736379144,17.021373623313856,150.4088837404776,0.0021315761737975094,8267.381320748362,1.6277856130324433e-05,"[1.6277856130324433e-05, 4.069430990529002e-06, 1.0173550200001187e-06]",0.0,-300.8097776187132,0,PASS
IRMV1,0.01,mechanism_defined_exposed,True,0.0034110635187411106,3.8752847145181897,5.834616289579606,16.50278697593293,17.380943707902254,2.1209674454514003e-15,167.35164607746077,17.021373623313856,150.33027245414692,0.002131344422673847,11835.321225327942,1.6245121518998373e-05,"[1.6245121518998373e-05, 4.061246372123441e-06, 1.0153074235178287e-06]",0.0,-300.5899438764559,0,PASS
IRMV1,0.1,mechanism_defined_exposed,True,0.03224585530882689,3.767279278872883,5.834616289579606,16.50278697593293,17.34334266628591,2.1209674454514003e-15,167.00184300499734,17.021373623313856,149.9804693816835,0.00211866550616015,49571.50587041252,1.577715218198669e-05,"[1.577715218198669e-05, 3.9442438856481176e-06, 9.860586772748598e-07]",0.0,-299.38240872655683,0,PASS
VREX,0.001,mechanism_defined_exposed,True,2.1266312077731454e-05,3.8909211221965627,5.834616289579606,16.50278697593293,17.388508709396213,2.1209674454514003e-15,167.44245007318514,17.021373623313856,150.4210764498713,0.0021314782703061507,7886.306115023954,1.6273727085573957e-05,"[1.6273727085573957e-05, 4.068399082450284e-06, 1.0170971301588197e-06]",0.0,-300.8419094557544,0,PASS
VREX,0.01,mechanism_defined_exposed,True,0.00021251702020499988,3.8873464837512763,5.834616289579606,16.50278697593293,17.387519239171993,2.1209674454514003e-15,167.42767305149002,17.021373623313856,150.40629942817617,0.0021316865829629893,7885.601945941787,1.6209365348617912e-05,"[1.6209365348617912e-05, 4.052309337414629e-06, 1.013074134564773e-06]",0.0,-300.8101673007428,0,PASS
VREX,0.1,mechanism_defined_exposed,True,0.0021107089276561123,3.8524907814548737,5.834616289579606,16.50278697593293,17.377804982178215,2.1209674454514003e-15,167.28269686124975,17.021373623313856,150.2613232379359,0.0021337525849621985,7878.634616301415,1.560348245489223e-05,"[1.560348245489223e-05, 3.900842036472331e-06, 9.752082087394876e-07]",0.0,-300.49861467660753,0,PASS
ERM,0.0,irrelevant_source_diversity,True,0.0,3.2893737366508464,10.105851856220884,14.29183275440089,14.855805365852111,0.0,160.615411652759,51.06412086994154,109.55129078281746,0.0021314551050129484,7886.384440518571,7.626969930776205e-05,"[2.8665570106180447e-06, 2.3272786574958575e-05, 7.626969930776205e-05]",0.0,-219.10258156563515,0,PASS
L2,0.001,irrelevant_source_diversity,True,0.1986584266721884,3.1803925725370674,10.105851856220884,14.29183275440089,14.911430041891917,0.0,161.61485311705215,51.06412086994154,110.5507322471106,0.0031314551050129445,5368.26293595177,7.302408809762159e-05,"[2.9026785697668116e-06, 2.2209452234554994e-05, 7.302408809762159e-05]",0.0,-220.53324783275113,0,PASS
L2,0.01,irrelevant_source_diversity,True,0.7633877450426604,3.351932969485641,10.105851856220884,14.29183275440089,15.149986479121113,0.0,166.00716621062892,51.06412086994154,114.94304534068738,0.012131455105012939,1386.4350343997764,6.57518803716295e-05,"[2.7006542101479592e-06, 2.001396985154217e-05, 6.57518803716295e-05]",0.0,-226.95176498882324,0,PASS
L2,0.1,irrelevant_source_diversity,True,1.2970756040327491,3.810710921680419,10.105851856220884,14.29183275440089,15.531581655124937,0.0,173.6767258787003,51.06412086994154,122.61260500875875,0.10213145510501294,165.5657834156128,5.977656988355309e-05,"[1.8492853428121998e-06, 1.8159095899919997e-05, 5.977656988355309e-05]",0.0,-237.64980037063225,0,PASS
IRMV1,0.001,irrelevant_source_diversity,True,0.00034725545725120975,3.2892993899946954,10.105851856220884,14.29183275440089,14.855227006658435,0.0,160.61095586752344,51.06412086994154,109.5468349975819,0.0021315761737975094,8267.381320748362,7.627930186864234e-05,"[2.833358412893565e-06, 2.3274983393918893e-05, 7.627930186864234e-05]",0.0,-219.08645551509233,0,PASS
IRMV1,0.01,irrelevant_source_diversity,True,0.0034110635187411106,3.2888862416505495,10.105851856220884,14.29183275440089,14.85177727618709,0.0,160.59257598907348,51.06412086994154,109.52845511913193,0.002131344422673847,11835.321225327942,7.635125071232987e-05,"[2.5375001021178884e-06, 2.32906474040474e-05, 7.635125071232987e-05]",0.0,-218.99427168700794,0,PASS
IRMV1,0.1,irrelevant_source_diversity,True,0.03224585530882689,3.287747304483532,10.105851856220884,14.29183275440089,14.835817535409763,0.0,160.6227508985313,51.06412086994154,109.55863002858976,0.00211866550616015,49571.50587041252,7.551585108299458e-05,"[2.3523920292277645e-06, 2.2997028585346157e-05, 7.551585108299458e-05]",0.0,-218.61019245564273,0,PASS
VREX,0.001,irrelevant_source_diversity,True,2.1266312077731454e-05,3.2893685645734414,10.105851856220884,14.29183275440089,14.855756816196719,0.0,160.6149298763669,51.06412086994154,109.55080900642534,0.0021314782703061507,7886.306115023954,7.627220483235608e-05,"[2.8599491272517047e-06, 2.3273505092754397e-05, 7.627220483235608e-05]",0.0,-219.10145288859349,0,PASS
VREX,0.01,irrelevant_source_diversity,True,0.00021251702020499988,3.2893221700932593,10.105851856220884,14.29183275440089,14.855320688119983,0.0,160.61060235296551,51.06412086994154,109.54648148302397,0.0021316865829629893,7885.601945941787,7.629464476808327e-05,"[2.801603839122204e-06, 2.327995393333625e-05, 7.629464476808327e-05]",0.0,-219.0913133412981,0,PASS
