adaptive_condition_holds,alpha,audit_mode,cross_E_irr_star_norm,cross_irr_E_star_norm,gram_sum_residual,kind,lambda,method,psd_min_gap,recoverable_exact,seed,setting,slack_ratio,support_compatible
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.001,IRMV1,-12.624379533070291,False,6,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,6.776263578034403e-21,cmnist_irmv1_source_only,0.01,IRMV1,-12.623866741326875,False,6,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.1,IRMV1,-12.619293257646783,False,6,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,6.776263578034403e-21,cmnist_irmv1_source_only,0.001,VREX,-12.62437615594829,False,6,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,6.776263578034403e-21,cmnist_irmv1_source_only,0.01,VREX,-12.623827287932336,False,6,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.1,VREX,-12.618424509988357,False,6,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.0,L2,-12.078102358005221,False,7,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.001,L2,-12.05887876268115,False,7,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.01,L2,-12.024203605413508,False,7,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.1,L2,-11.79951814025125,False,7,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.001,IRMV1,-12.078047388550862,False,7,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,2.42434975903054e-19,cmnist_irmv1_source_only,0.01,IRMV1,-12.077558679868977,False,7,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,2.168404344971009e-19,cmnist_irmv1_source_only,0.1,IRMV1,-12.073181597584444,False,7,source_only_common_projection_irmv1,inf,False
