seed,method,tangent,epsilon,A_norm,PiO_norm,mismatch_norm,normalized_mismatch_if_preregistered,finite
14,ERM,source_env0_color,0.01,1.564365186541981,1.2492919109629,0.9903176579184354,0.6330476198511718,True
14,ERM,source_env1_color,0.01,1.5018552521301103,1.2651677656406002,0.9457526230357551,0.6297228855406511,True
14,ERM,shared_label_noise,0.01,5.037786663149989,0.9433897785741204,4.306225003447122,0.8547851053213433,True
14,ERM,common_source_color,0.01,2.0491577941057053,1.7266164352344069,1.171901270959919,0.571894109048523,True
14,ERM,antisymmetric_source_color,0.01,1.0487284659920064,0.07942862875340194,1.055546930965406,1.0065016495637409,True
14,ERM,source_env0_color,0.02,1.5069565808806786,1.211036067389728,0.8059057775027018,0.5347903103032493,True
14,ERM,source_env1_color,0.02,1.4724342055403372,1.2033402842136287,0.8419867700597459,0.5718332044254317,True
14,ERM,shared_label_noise,0.02,4.625756087362883,0.8971568661841824,3.91618004603737,0.846603230277531,True
14,ERM,common_source_color,0.02,1.8515761086156315,1.7295857750307717,0.876550096563999,0.4734075431656814,True
14,ERM,antisymmetric_source_color,0.02,0.8325088076571447,0.06545703838710547,0.8370788655530448,1.0054895009564657,True
14,IRMv1,source_env0_color,0.01,1.0269995202454847,1.451354440553189,1.241984129032441,1.2093327256234436,True
14,IRMv1,source_env1_color,0.01,1.0605590721173548,1.6509931830631366,2.357415654505101,2.2228046664092314,True
14,IRMv1,shared_label_noise,0.01,2.146115794105349,8.227339433559548,8.309673279416481,3.871959426532497,True
14,IRMv1,common_source_color,0.01,1.4011529331849801,0.5428820684653032,1.4938931455895972,1.0661885010609142,True
14,IRMv1,antisymmetric_source_color,0.01,0.691212015193437,1.8669664461712,1.9630778922083096,2.840051748317683,True
14,IRMv1,source_env0_color,0.02,1.0505296022399888,1.6216022612545729,1.4751843098079007,1.4042291684712578,True
14,IRMv1,source_env1_color,0.02,1.0315992265658682,2.128482622447058,2.6896108072668024,2.6072245286770475,True
14,IRMv1,shared_label_noise,0.02,1.991556850669089,11.88214238958104,11.867363550913408,5.958837452682516,True
14,IRMv1,common_source_color,0.02,1.2806484722714373,1.0964679022297148,1.8392856930040102,1.436214334244072,True
