seed,method,tangent,epsilon,response_norm,whitened_response_norm,retained_hessian_rank,hessian_min_eig,hessian_max_eig,hessian_condition,hessian_damping,whitening_identity_error,finite,response_rank,response_singular_max,response_singular_min,gram_disagreement_with_epsilon_pair,reparameterization_gram_disagreement
13,IRMv1,antisymmetric_source_color,0.01,3.250654926959442,0.8530932487795166,64,2.1543413919981174e-08,0.9950852892964462,46189767.92594235,2.1543413920035384e-08,8.605544121000129e-15,True,5,2.2943867233988997,0.21708207646293728,0.10834085122395958,8.441071388277869e-14
13,IRMv1,source_env0_color,0.02,3.1363861748211495,1.0973218524153139,64,2.1543413919981174e-08,0.9950852892964462,46189767.92594235,2.1543413920035384e-08,8.605544121000129e-15,True,5,2.215916873697827,0.16874991032152126,0.10834085122395958,6.789653363013804e-14
13,IRMv1,source_env1_color,0.02,3.1363861748211495,1.063101956758837,64,2.1543413919981174e-08,0.9950852892964462,46189767.92594235,2.1543413920035384e-08,8.605544121000129e-15,True,5,2.215916873697827,0.16874991032152126,0.10834085122395958,6.789653363013804e-14
13,IRMv1,shared_label_noise,0.02,3.1363861748211495,2.1986844251484454,64,2.1543413919981174e-08,0.9950852892964462,46189767.92594235,2.1543413920035384e-08,8.605544121000129e-15,True,5,2.215916873697827,0.16874991032152126,0.10834085122395958,6.789653363013804e-14
13,IRMv1,common_source_color,0.02,3.1363861748211495,1.4749372309884783,64,2.1543413919981174e-08,0.9950852892964462,46189767.92594235,2.1543413920035384e-08,8.605544121000129e-15,True,5,2.215916873697827,0.16874991032152126,0.10834085122395958,6.789653363013804e-14
13,IRMv1,antisymmetric_source_color,0.02,3.1363861748211495,0.7021140809087146,64,2.1543413919981174e-08,0.9950852892964462,46189767.92594235,2.1543413920035384e-08,8.605544121000129e-15,True,5,2.215916873697827,0.16874991032152126,0.10834085122395958,6.789653363013804e-14
14,ERM,source_env0_color,0.01,5.948191419175522,1.564365186541981,65,6.806903551424759e-09,0.31845350036315384,46783900.77915796,6.765218588898284e-09,3.0110726311863684e-13,True,5,5.0617277337997155,0.3304782741706285,0.05106407680590662,1.1592538527701736e-11
14,ERM,source_env1_color,0.01,5.948191419175522,1.5018552521301103,65,6.806903551424759e-09,0.31845350036315384,46783900.77915796,6.765218588898284e-09,3.0110726311863684e-13,True,5,5.0617277337997155,0.3304782741706285,0.05106407680590662,1.1592538527701736e-11
14,ERM,shared_label_noise,0.01,5.948191419175522,5.037786663149989,65,6.806903551424759e-09,0.31845350036315384,46783900.77915796,6.765218588898284e-09,3.0110726311863684e-13,True,5,5.0617277337997155,0.3304782741706285,0.05106407680590662,1.1592538527701736e-11
14,ERM,common_source_color,0.01,5.948191419175522,2.0491577941057053,65,6.806903551424759e-09,0.31845350036315384,46783900.77915796,6.765218588898284e-09,3.0110726311863684e-13,True,5,5.0617277337997155,0.3304782741706285,0.05106407680590662,1.1592538527701736e-11
14,ERM,antisymmetric_source_color,0.01,5.948191419175522,1.0487284659920064,65,6.806903551424759e-09,0.31845350036315384,46783900.77915796,6.765218588898284e-09,3.0110726311863684e-13,True,5,5.0617277337997155,0.3304782741706285,0.05106407680590662,1.1592538527701736e-11
14,ERM,source_env0_color,0.02,5.473390631674528,1.5069565808806786,65,6.806903551424759e-09,0.31845350036315384,46783900.77915796,6.765218588898284e-09,3.0110726311863684e-13,True,5,4.637456211421796,0.3049649494337513,0.05106407680590662,6.5884467262001825e-12
14,ERM,source_env1_color,0.02,5.473390631674528,1.4724342055403372,65,6.806903551424759e-09,0.31845350036315384,46783900.77915796,6.765218588898284e-09,3.0110726311863684e-13,True,5,4.637456211421796,0.3049649494337513,0.05106407680590662,6.5884467262001825e-12
14,ERM,shared_label_noise,0.02,5.473390631674528,4.625756087362883,65,6.806903551424759e-09,0.31845350036315384,46783900.77915796,6.765218588898284e-09,3.0110726311863684e-13,True,5,4.637456211421796,0.3049649494337513,0.05106407680590662,6.5884467262001825e-12
14,ERM,common_source_color,0.02,5.473390631674528,1.8515761086156315,65,6.806903551424759e-09,0.31845350036315384,46783900.77915796,6.765218588898284e-09,3.0110726311863684e-13,True,5,4.637456211421796,0.3049649494337513,0.05106407680590662,6.5884467262001825e-12
14,ERM,antisymmetric_source_color,0.02,5.473390631674528,0.8325088076571447,65,6.806903551424759e-09,0.31845350036315384,46783900.77915796,6.765218588898284e-09,3.0110726311863684e-13,True,5,4.637456211421796,0.3049649494337513,0.05106407680590662,6.5884467262001825e-12
14,IRMv1,source_env0_color,0.01,3.037487473861243,1.0269995202454847,64,2.283786879879263e-08,1.1982660726879306,52468384.12309643,2.2837868798711316e-08,7.584271164037345e-15,True,5,2.1621259667323143,0.2109645164006385,0.08519128777479268,2.0052044598338333e-13
14,IRMv1,source_env1_color,0.01,3.037487473861243,1.0605590721173548,64,2.283786879879263e-08,1.1982660726879306,52468384.12309643,2.2837868798711316e-08,7.584271164037345e-15,True,5,2.1621259667323143,0.2109645164006385,0.08519128777479268,2.0052044598338333e-13
14,IRMv1,shared_label_noise,0.01,3.037487473861243,2.146115794105349,64,2.283786879879263e-08,1.1982660726879306,52468384.12309643,2.2837868798711316e-08,7.584271164037345e-15,True,5,2.1621259667323143,0.2109645164006385,0.08519128777479268,2.0052044598338333e-13
14,IRMv1,common_source_color,0.01,3.037487473861243,1.4011529331849801,64,2.283786879879263e-08,1.1982660726879306,52468384.12309643,2.2837868798711316e-08,7.584271164037345e-15,True,5,2.1621259667323143,0.2109645164006385,0.08519128777479268,2.0052044598338333e-13
14,IRMv1,antisymmetric_source_color,0.01,3.037487473861243,0.691212015193437,64,2.283786879879263e-08,1.1982660726879306,52468384.12309643,2.2837868798711316e-08,7.584271164037345e-15,True,5,2.1621259667323143,0.2109645164006385,0.08519128777479268,2.0052044598338333e-13
14,IRMv1,source_env0_color,0.02,2.844412928959775,1.0505296022399888,64,2.283786879879263e-08,1.1982660726879306,52468384.12309643,2.2837868798711316e-08,7.584271164037345e-15,True,5,2.0124233729108396,0.19341925692373724,0.08519128777479268,1.7821721274939137e-13
14,IRMv1,source_env1_color,0.02,2.844412928959775,1.0315992265658682,64,2.283786879879263e-08,1.1982660726879306,52468384.12309643,2.2837868798711316e-08,7.584271164037345e-15,True,5,2.0124233729108396,0.19341925692373724,0.08519128777479268,1.7821721274939137e-13
14,IRMv1,shared_label_noise,0.02,2.844412928959775,1.991556850669089,64,2.283786879879263e-08,1.1982660726879306,52468384.12309643,2.2837868798711316e-08,7.584271164037345e-15,True,5,2.0124233729108396,0.19341925692373724,0.08519128777479268,1.7821721274939137e-13
