A_irreducible_operator_norm,A_recoverable_operator_norm,A_target_posthoc_only,E_change_operator_norm,E_operator_norm,O_Pi_source_images_labels_only,PiO_operator_norm,Pi_operator_norm,audit_mode,baseline_E_operator_norm,baseline_Pi_operator_norm,baseline_total_h_condition,baseline_z0_norm,common_base_attribution_status,lambda,method,observed_total_b_norm,observed_total_h_condition,projection_dimension,representation_method,seed,setting,z0_norm
0.0,2.840092777862171,True,-0.0007903611550585943,3.547687678772683,True,0.9820615117837194,6.178435437555679,source_only_matrix_audit_no_high_dim_common_base_fd,3.548478039927742,6.1875556139638554,62401.803660941245,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.1,VREX,1.125618083753373,62408.61261567694,56,IRMv1,1,source_only_common_projection_irmv1,0.00040076385500848567
0.0,3.0776573871582737,True,0.0,3.7414750337097025,True,1.0436514641126244,158.09865546408665,source_only_matrix_audit_no_high_dim_common_base_fd,3.7414750337097025,158.09865546408665,91335415.59014998,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.0,L2,1.1596558182931815,91335415.59014998,64,ERM,2,source_only_common_projection_erm,0.0
0.0,3.0776573871582737,True,-0.014751493843046415,3.726723539866656,True,0.9980118342712506,4.790451932643119,source_only_matrix_audit_no_high_dim_common_base_fd,3.7414750337097025,158.09865546408665,91335415.59014998,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.001,L2,1.159092286364422,3165.114169647167,64,ERM,2,source_only_common_projection_erm,0.059999730441893655
0.0,3.0776573871582737,True,-0.02767149206899111,3.7138035416407114,True,0.9336884040852707,2.431828396967882,source_only_matrix_audit_no_high_dim_common_base_fd,3.7414750337097025,158.09865546408665,91335415.59014998,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.01,L2,1.1585821055511565,317.4212825109698,64,ERM,2,source_only_common_projection_erm,0.07314181301152721
0.0,3.0776573871582737,True,-0.05899886038006619,3.6824761733296363,True,0.7395346308544434,1.204416742312814,source_only_matrix_audit_no_high_dim_common_base_fd,3.7414750337097025,158.09865546408665,91335415.59014998,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.1,L2,1.1649816387701823,32.64222690994314,64,ERM,2,source_only_common_projection_erm,0.08555177739442708
0.0,3.0776573871582737,True,-8.7423052566038e-06,3.741466291404446,True,1.0436315986773321,158.09398356417802,source_only_matrix_audit_no_high_dim_common_base_fd,3.7414750337097025,158.09865546408665,91335415.59014998,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.001,IRMV1,1.160296692905976,91417463.33735643,64,ERM,2,source_only_common_projection_erm,3.987006640465479e-06
0.0,3.0776573871582737,True,-8.664858450702084e-05,3.7413883851251954,True,1.043453836079741,158.0520288506814,source_only_matrix_audit_no_high_dim_common_base_fd,3.7414750337097025,158.09865546408665,91335415.59014998,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.01,IRMV1,1.1660869996823913,92170976.19659756,64,ERM,2,source_only_common_projection_erm,3.9835018253286585e-05
0.0,3.0776573871582737,True,-9.627532460143584e-06,3.7414654061772423,True,1.043634161619936,158.09498017962525,source_only_matrix_audit_no_high_dim_common_base_fd,3.7414750337097025,158.09865546408665,91335415.59014998,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.001,VREX,1.159655198476099,91335652.42693755,64,ERM,2,source_only_common_projection_erm,4.083033984467685e-06
0.0,3.0776573871582737,True,-9.617080988411075e-05,3.7413788628998184,True,1.04347905000327,158.061997842357,source_only_matrix_audit_no_high_dim_common_base_fd,3.7414750337097025,158.09865546408665,91335415.59014998,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.01,VREX,1.1596502603951684,91337784.07555193,64,ERM,2,source_only_common_projection_erm,4.082529215257179e-05
0.0,3.0776573871582737,True,-0.0009513054867702486,3.740523728222932,True,1.0419881761080456,157.74156006539468,source_only_matrix_audit_no_high_dim_common_base_fd,3.7414750337097025,158.09865546408665,91335415.59014998,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.1,VREX,1.1596641232688225,91359113.0410359,64,ERM,2,source_only_common_projection_erm,0.0004077490316485041
0.0,2.8173326941129253,True,0.0,3.5320745830704396,True,1.0004508833139,12.666674246317994,source_only_matrix_audit_no_high_dim_common_base_fd,3.5320745830704396,12.666674246317994,1251659.7798439728,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.0,L2,1.571423560727049,1251659.7798439728,64,IRMv1,2,source_only_common_projection_irmv1,0.0
0.0,2.8173326941129253,True,0.00181006274197415,3.533884645812414,True,0.9893783519002771,3.236733320029621,source_only_matrix_audit_no_high_dim_common_base_fd,3.5320745830704396,12.666674246317994,1251659.7798439728,0.0,NOT_RUN_HIGH_DIM_FD_COST,0.001,L2,1.576700566621548,3075.4326284656186,64,IRMv1,2,source_only_common_projection_irmv1,0.02874575337341315
