A_target_posthoc_only,E00_operator_norm,E0K_operator_norm,EC0_operator_norm,ECK_operator_norm,E_change_operator_norm,O_Pi_source_images_labels_only,Pi00_norm,Pi0K_norm,PiC0_norm,PiCK_norm,audit_mode,common_base_attribution_status,common_base_kind,direction,filtering_norm,interaction_norm,lambda,method,projection_dimension,representation_method,seed,sensing_norm,setting,symmetric_identity_residual
True,3.5320745830704396,NA,NA,3.533884645812414,0.00181006274197415,True,1.0004508833139,NA,NA,0.9893783519002771,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,hurts,NA,NA,0.001,L2,64,IRMv1,2,NA,source_only_common_projection_irmv1,NA
True,3.5320745830704396,NA,NA,3.532029523961038,-4.505910940144631e-05,True,1.0004508833139,NA,NA,0.9641842473561013,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.01,L2,64,IRMv1,2,NA,source_only_common_projection_irmv1,NA
True,3.5320745830704396,NA,NA,3.5228695506708827,-0.009205032399556945,True,1.0004508833139,NA,NA,0.9081635458536892,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.1,L2,64,IRMv1,2,NA,source_only_common_projection_irmv1,NA
True,3.5320745830704396,NA,NA,3.5320666630818267,-7.919988612936635e-06,True,1.0004508833139,NA,NA,1.0004357690817092,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.001,IRMV1,64,IRMv1,2,NA,source_only_common_projection_irmv1,NA
True,3.5320745830704396,NA,NA,3.5313635021352403,-0.0007110809351993375,True,1.0004508833139,NA,NA,0.9990574864019743,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.1,IRMV1,64,IRMv1,2,NA,source_only_common_projection_irmv1,NA
True,3.5320745830704396,NA,NA,3.532065998742177,-8.584328262450924e-06,True,1.0004508833139,NA,NA,1.0004374550675972,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.001,VREX,64,IRMv1,2,NA,source_only_common_projection_irmv1,NA
True,3.5320745830704396,NA,NA,3.5319888594644047,-8.572360603498197e-05,True,1.0004508833139,NA,NA,1.0003172273389738,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.01,VREX,64,IRMv1,2,NA,source_only_common_projection_irmv1,NA
True,3.5320745830704396,NA,NA,3.5312292655722737,-0.000845317498165965,True,1.0004508833139,NA,NA,0.9991767660361451,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.1,VREX,64,IRMv1,2,NA,source_only_common_projection_irmv1,NA
True,3.788726704943546,NA,NA,3.788726704943546,0.0,True,1.0339407037318866,NA,NA,1.0339407037318866,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,neutral,NA,NA,0.0,L2,64,ERM,3,NA,source_only_common_projection_erm,NA
True,3.788726704943546,NA,NA,3.777136066146689,-0.011590638796856734,True,1.0339407037318866,NA,NA,0.9626844732125317,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.001,L2,64,ERM,3,NA,source_only_common_projection_erm,NA
True,3.788726704943546,NA,NA,3.755711375087485,-0.033015329856060927,True,1.0339407037318866,NA,NA,0.8390197616767368,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.01,L2,64,ERM,3,NA,source_only_common_projection_erm,NA
True,3.788726704943546,NA,NA,3.7394310987240633,-0.04929560621948248,True,1.0339407037318866,NA,NA,0.6508303277236984,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.1,L2,64,ERM,3,NA,source_only_common_projection_erm,NA
True,3.788726704943546,NA,NA,3.7887182907701766,-8.414173369164502e-06,True,1.0339407037318866,NA,NA,1.03392113259893,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.001,IRMV1,64,ERM,3,NA,source_only_common_projection_erm,NA
True,3.788726704943546,NA,NA,3.7879588036860574,-0.0007679012574883792,True,1.0339407037318866,NA,NA,1.0320902567600598,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.1,IRMV1,64,ERM,3,NA,source_only_common_projection_erm,NA
True,3.788726704943546,NA,NA,3.788717584522405,-9.120421140984547e-06,True,1.0339407037318866,NA,NA,1.0339240134667156,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,source_only_ERM_same_representation_seed,helps,NA,NA,0.001,VREX,64,ERM,3,NA,source_only_common_projection_erm,NA
