A_irreducible_operator_norm,A_recoverable_operator_norm,A_target_posthoc_only,E_operator_norm,O_Pi_source_images_labels_only,PiO_operator_norm,adaptive_regret,audit_mode,common_base_attribution_status,decomposition_residual,dim_kernel_O,full_observation_recoverable_residual,information_floor,lambda,method,projection_dimension,rank_A,rank_O,representation_method,response_dimension,seed,setting,slack_ratio,snapshot_passes,source_dimension,source_state_dimension,spectral_gap_min,support_compatible,total_regret,world_dimension,zero_observation_E_norm
0.0,2.8173326941129253,True,3.5228695506708827,True,0.9081635458536892,6.205304935522033,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.1,L2,64,1,2,IRMv1,65,2,source_only_common_projection_irmv1,inf,True,65,4422,-12.410609871044063,False,6.332270326187538,2,0.0
0.0,2.8173326941129253,True,3.5320666630818267,True,1.0004357690817092,6.2377474562269954,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.001,IRMV1,64,1,2,IRMv1,65,2,source_only_common_projection_irmv1,inf,True,65,4422,-12.475494912453994,False,6.237755945092845,2,0.0
0.0,2.8173326941129253,True,3.5313635021352403,True,0.9990574864019743,6.235264092106434,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.1,IRMV1,64,1,2,IRMv1,65,2,source_only_common_projection_irmv1,inf,True,65,4422,-12.470528184212867,False,6.236077476333339,2,0.0
0.0,2.8173326941129253,True,3.532065998742177,True,1.0004374550675972,6.237745109735287,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.001,VREX,64,1,2,IRMv1,65,2,source_only_common_projection_irmv1,inf,True,65,4422,-12.475490219470574,False,6.237756457782578,2,0.0
0.0,2.8173326941129253,True,3.5319888594644047,True,1.0003172273389738,6.237472651690333,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.01,VREX,64,1,2,IRMv1,65,2,source_only_common_projection_irmv1,inf,True,65,4422,-12.474945303380677,False,6.23758611727119,2,0.0
0.0,2.8173326941129253,True,3.5312292655722737,True,0.9991767660361451,6.23479006301705,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.1,VREX,64,1,2,IRMv1,65,2,source_only_common_projection_irmv1,inf,True,65,4422,-12.469580126034113,False,6.23592323982084,2,0.0
0.0,3.139453958867449,True,3.788726704943546,True,1.0339407037318866,7.177225022376189,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.0,L2,64,1,2,ERM,65,3,source_only_common_projection_erm,inf,True,65,4422,-14.354450044752376,False,7.177225022376189,2,0.0
0.0,3.139453958867449,True,3.777136066146689,True,0.9626844732125317,7.133378431093043,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.001,L2,64,1,2,ERM,65,3,source_only_common_projection_erm,inf,True,65,4422,-14.266756862186067,False,7.152398195126999,2,0.0
0.0,3.139453958867449,True,3.755711375087485,True,0.8390197616767368,7.052683966480763,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.01,L2,64,1,2,ERM,65,3,source_only_common_projection_erm,inf,True,65,4422,-14.105367932961522,False,7.083467431886055,2,0.0
0.0,3.139453958867449,True,3.7394310987240633,True,0.6508303277236984,6.991672471052327,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.1,L2,64,1,2,ERM,65,3,source_only_common_projection_erm,inf,True,65,4422,-13.98334494210466,False,7.066828999816667,2,0.0
0.0,3.139453958867449,True,3.7887182907701766,True,1.03392113259893,7.177193143408244,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.001,IRMV1,64,1,2,ERM,65,3,source_only_common_projection_erm,inf,True,65,4422,-14.354386286816492,False,7.177200507803576,2,0.0
0.0,3.139453958867449,True,3.7879588036860574,True,1.0320902567600598,7.174315949211354,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.1,IRMV1,64,1,2,ERM,65,3,source_only_common_projection_erm,inf,True,65,4422,-14.348631898422683,False,7.175023228472035,2,0.0
0.0,3.139453958867449,True,3.788717584522405,True,1.0339240134667156,7.1771904676346425,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.001,VREX,64,1,2,ERM,65,3,source_only_common_projection_erm,inf,True,65,4422,-14.354380935269306,False,7.177201324067654,2,0.0
0.0,3.139453958867449,True,3.788635598631627,True,1.0337744008076952,7.1768798496094135,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.01,VREX,64,1,2,ERM,65,3,source_only_common_projection_erm,inf,True,65,4422,-14.353759699218829,False,7.176988397334858,2,0.0
0.0,3.139453958867449,True,3.787825386976471,True,1.0323374274324293,7.173810581111726,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.1,VREX,64,1,2,ERM,65,3,source_only_common_projection_erm,inf,True,65,4422,-14.347621162223467,False,7.17489440814913,2,0.0
0.0,2.811472318031265,True,3.5350199446707813,True,0.9951293848386034,6.248183004610107,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.0,L2,64,1,2,IRMv1,65,3,source_only_common_projection_irmv1,inf,True,65,4422,-12.496366009220221,False,6.248183004610105,2,0.0
0.0,2.811472318031265,True,3.5350697217506677,True,0.975306774765221,6.248358968819171,source_only_matrix_audit_no_high_dim_common_base_fd,NOT_RUN_HIGH_DIM_FD_COST,0.0,0,0.0,0.0,0.001,L2,64,1,2,IRMv1,65,3,source_only_common_projection_irmv1,inf,True,65,4422,-12.49671793763835,False,6.2602666161298135,2,0.0
