method,seed,semantic_direction,alpha,local_response_acc_slope,local_response_loss_slope,finite_accuracy,finite_loss,accuracy_change,loss_change,base_accuracy,base_loss,target_posthoc,source_only_geometry
FISHR,11,source_color_common,0.05,-0.15744174424857094,0.028662700270692953,0.6882216627875717,0.668139909048117,-0.007872087212428491,0.001433135013534259,0.6960937500000002,0.6667067740345828,0.5764999985694885,True
FISHR,11,source_color_common,0.1,-0.15744174424857094,0.028662700270692953,0.6803495755751433,0.6695730440616514,-0.01574417442485687,0.002866270027068629,0.6960937500000002,0.6667067740345828,0.5764999985694885,True
FISHR,11,source_color_contrast,0.02,5.551115123125783e-15,-5.551115123125783e-15,0.6960937499999998,0.6667067740345828,-3.3306690738754696e-16,0.0,0.6960937500000002,0.6667067740345828,0.5764999985694885,True
FISHR,11,source_color_contrast,0.05,5.551115123125783e-15,-5.551115123125783e-15,0.6960937500000001,0.6667067740345829,-1.1102230246251565e-16,1.1102230246251565e-16,0.6960937500000002,0.6667067740345828,0.5764999985694885,True
FISHR,11,source_color_contrast,0.1,5.551115123125783e-15,-5.551115123125783e-15,0.69609375,0.6667067740345829,-2.220446049250313e-16,1.1102230246251565e-16,0.6960937500000002,0.6667067740345828,0.5764999985694885,True
FISHR,11,source_label_noise,0.02,-0.47265624999999756,0.05349669006808888,0.6866406250000001,0.6677767078359448,-0.009453125000000062,0.0010699338013619997,0.6960937500000002,0.6667067740345828,0.5764999985694885,True
FISHR,11,source_label_noise,0.05,-0.47265624999999756,0.05349669006808888,0.6724609375,0.6693816085379877,-0.023632812500000155,0.002674834503404888,0.6960937500000002,0.6667067740345828,0.5764999985694885,True
FISHR,11,source_label_noise,0.1,-0.47265624999999756,0.05349669006808888,0.6488281250000001,0.6720564430413924,-0.04726562500000009,0.005349669006809665,0.6960937500000002,0.6667067740345828,0.5764999985694885,True
Full-BIRM (Official),11,source_color_common,0.02,0.012429611388048434,0.008640762969008842,0.6527876547277609,0.6304911775105625,0.00024859222776085765,0.0001728152593800658,0.6525390625,0.6303183622511824,,True
Full-BIRM (Official),11,source_color_common,0.05,0.012429611388048434,0.008640762969008842,0.6531605430694023,0.6307504003996324,0.0006214805694022552,0.0004320381484499425,0.6525390625,0.6303183622511824,,True
Full-BIRM (Official),11,source_color_common,0.1,0.012429611388048434,0.008640762969008842,0.6537820236388043,0.6311824385480825,0.0012429611388042883,0.000864076296900107,0.6525390625,0.6303183622511824,,True
Full-BIRM (Official),11,source_color_contrast,0.02,0.0,1.1102230246251565e-14,0.6525390624999999,0.6303183622511823,-1.1102230246251565e-16,-1.1102230246251565e-16,0.6525390625,0.6303183622511824,,True
Full-BIRM (Official),11,source_color_contrast,0.05,0.0,1.1102230246251565e-14,0.6525390625,0.6303183622511824,0.0,0.0,0.6525390625,0.6303183622511824,,True
Full-BIRM (Official),11,source_color_contrast,0.1,0.0,1.1102230246251565e-14,0.6525390624999999,0.6303183622511824,-1.1102230246251565e-16,0.0,0.6525390625,0.6303183622511824,,True
Full-BIRM (Official),11,source_label_noise,0.02,-0.6347656250000056,0.4672611290192308,0.6398437499999999,0.6396635848315673,-0.012695312500000111,0.009345222580384838,0.6525390625,0.6303183622511824,,True
Full-BIRM (Official),11,source_label_noise,0.05,-0.6347656250000056,0.4672611290192308,0.6208007812499999,0.6536814187021446,-0.03173828125000011,0.02336305645096215,0.6525390625,0.6303183622511824,,True
Full-BIRM (Official),11,source_label_noise,0.1,-0.6347656250000056,0.4672611290192308,0.5890624999999999,0.6770444751531068,-0.06347656250000011,0.04672611290192441,0.6525390625,0.6303183622511824,,True
LoRA-BIRM (Official),11,source_color_common,0.02,-0.030383494504110375,0.08541582323646213,0.6238063926099178,0.6210839295469587,-0.0006076698900823185,0.0017083164647291316,0.6244140625000001,0.6193756130822295,,True
LoRA-BIRM (Official),11,source_color_common,0.05,-0.030383494504110375,0.08541582323646213,0.6228948877747945,0.6236464042440525,-0.0015191747252055743,0.00427079116182294,0.6244140625000001,0.6193756130822295,,True
LoRA-BIRM (Official),11,source_color_common,0.1,-0.030383494504110375,0.08541582323646213,0.621375713049589,0.6279171954058755,-0.0030383494504110375,0.008541582323645991,0.6244140625000001,0.6193756130822295,,True
LoRA-BIRM (Official),11,source_color_contrast,0.02,1.1102230246251565e-14,5.551115123125783e-15,0.6244140624999999,0.6193756130822294,-2.220446049250313e-16,-1.1102230246251565e-16,0.6244140625000001,0.6193756130822295,,True
LoRA-BIRM (Official),11,source_color_contrast,0.05,1.1102230246251565e-14,5.551115123125783e-15,0.6244140625,0.6193756130822294,-1.1102230246251565e-16,-1.1102230246251565e-16,0.6244140625000001,0.6193756130822295,,True
LoRA-BIRM (Official),11,source_color_contrast,0.1,1.1102230246251565e-14,5.551115123125783e-15,0.6244140625000001,0.6193756130822294,0.0,-1.1102230246251565e-16,0.6244140625000001,0.6193756130822295,,True
LoRA-BIRM (Official),11,source_label_noise,0.02,-0.4375000000000073,0.3621909054374539,0.6156640625,0.6266194311909786,-0.008750000000000036,0.007243818108749078,0.6244140625000001,0.6193756130822295,,True
LoRA-BIRM (Official),11,source_label_noise,0.05,-0.4375000000000073,0.3621909054374539,0.6025390625,0.6374851583541022,-0.02187500000000009,0.018109545271872696,0.6244140625000001,0.6193756130822295,,True
LoRA-BIRM (Official),11,source_label_noise,0.1,-0.4375000000000073,0.3621909054374539,0.5806640625,0.6555947036259749,-0.04375000000000007,0.03621909054374539,0.6244140625000001,0.6193756130822295,,True
