method,semantic_direction,alpha,accuracy_change,accuracy_change,loss_change,loss_change,finite_accuracy,finite_accuracy
,,,mean,std,mean,std,mean,std
LoRA-BIRM (Official),source_label_noise,0.02,-0.011546875000000022,0.00157722553265516,0.009201768211680238,0.001646265329361205,0.6254062499999999,0.029161714260538298
LoRA-BIRM (Official),source_label_noise,0.05,-0.028867187500000037,0.003943063831637888,0.023004420529200532,0.0041156633234030815,0.6080859375000001,0.028693609912607655
LoRA-BIRM (Official),source_label_noise,0.1,-0.057734375000000004,0.007886127663275802,0.046008841058401174,0.008231326646806213,0.5792187500000001,0.028338356320803847
VREX,source_color_common,0.02,-0.0020053106372713405,0.0024906441145753763,0.00021724137410183975,0.00025417953481121495,0.6344400018627286,0.06258363509525362
VREX,source_color_common,0.05,-0.005013276593178096,0.006226610286438336,0.0005431034352548769,0.0006354488370279111,0.631432035906822,0.05901870867778263
VREX,source_color_common,0.1,-0.010026553186356124,0.01245322057287667,0.0010862068705097538,0.0012708976740558413,0.6264187593136439,0.05312942099699734
VREX,source_color_contrast,0.02,-8.881784197001253e-17,4.965068306494546e-17,-1.1102230246251565e-16,7.850462293418876e-17,0.6364453124999999,0.064970931375717
VREX,source_color_contrast,0.05,-2.2204460492503132e-17,9.288792252416251e-17,-1.3322676295501878e-16,4.965068306494546e-17,0.6364453125,0.06497093137571704
VREX,source_color_contrast,0.1,-6.661338147750939e-17,1.4895204919483638e-16,-4.4408920985006264e-17,6.080941944488117e-17,0.6364453125,0.0649709313757169
VREX,source_label_noise,0.02,-0.006945312500000011,0.0014554123462634956,0.0007166739771325536,0.0001408217254673672,0.6295,0.06452229597950462
VREX,source_label_noise,0.05,-0.01736328125000002,0.0036385308656587396,0.0017916849428315951,0.0003520543136684673,0.6190820312499999,0.06390561129150565
VREX,source_label_noise,0.1,-0.034726562499999905,0.007277061731317516,0.0035833698856632566,0.0007041086273370028,0.6017187500000001,0.06303261218587256
