method,seed,semantic_direction,direction_index,logical_checkpoint,horizon,finite_alpha,response_schedule,outcome_schedule,outcome_norm,outcome_source_norm,outcome_counterfactual_norm,outcome_clean_norm,target_A_norm,target_O_norm,target_R_norm,state_gate_pass
CORAL,12,source_env0_color,0,300,20,0.1,probe_A,independent_B,14.218840599060059,8.406794548034668,11.434441566467285,0.8688449859619141,1.3707879163232866,1.0496794777205443,145.4859619140625,True
CORAL,12,source_env1_color,1,300,20,0.1,probe_A,independent_B,14.142478942871094,8.398944854736328,11.341368675231934,0.9169552326202393,1.384300398523527,1.0479135583817627,145.5155487060547,True
CORAL,12,source_label_noise,2,300,20,0.1,probe_A,independent_B,13.812820434570312,7.211871147155762,9.968984603881836,6.2771196365356445,1.3780987916360214,0.19793695701397573,156.4190216064453,True
IRMv1,12,source_env0_color,0,300,20,0.1,probe_A,independent_B,2.520171880722046,1.3703536987304688,1.7371774911880493,1.2064868211746216,0.9737180136302912,0.8631014353178164,10.29416561126709,True
IRMv1,12,source_env1_color,1,300,20,0.1,probe_A,independent_B,2.7315540313720703,1.7091225385665894,2.1084513664245605,0.3077693581581116,0.9562597603026686,0.8505052034936625,26.238136291503906,True
IRMv1,12,source_label_noise,2,300,20,0.1,probe_A,independent_B,5.764724254608154,3.264068126678467,4.503188610076904,1.5163145065307617,1.626916971365504,0.5498835622113591,73.25308227539062,True
VREX,12,source_env0_color,0,300,20,0.1,probe_A,independent_B,0.591626763343811,0.3679557740688324,0.4531121551990509,0.09654069691896439,0.9899893463667802,0.6739245218836156,9.380871772766113,True
VREX,12,source_env1_color,1,300,20,0.1,probe_A,independent_B,1.6749818325042725,1.0391737222671509,1.302667260169983,0.1695287525653839,0.9806377673201282,0.6754805129135684,8.941872596740723,True
VREX,12,source_label_noise,2,300,20,0.1,probe_A,independent_B,0.132904052734375,0.07572973519563675,0.10038250684738159,0.04303305968642235,1.356815687362336,0.19342029369026156,3.259477376937866,True
FISHR,12,source_env0_color,0,300,20,0.1,probe_A,independent_B,0.19259342551231384,0.11662247031927109,0.14508529007434845,0.049413442611694336,0.9718854517680827,0.17211637648613326,20.677518844604492,True
FISHR,12,source_env1_color,1,300,20,0.1,probe_A,independent_B,1.2961053848266602,0.7641814351081848,1.026248812675476,0.2067110240459442,0.9632286553534488,0.16991345283219236,17.935461044311523,True
FISHR,12,source_label_noise,2,300,20,0.1,probe_A,independent_B,0.09663065522909164,0.059914227575063705,0.06939159333705902,0.030538111925125122,1.328169905463899,0.11541290284808713,1.5958212614059448,True
ERM,13,source_env0_color,0,300,20,0.1,probe_A,independent_B,13.987401008605957,8.42613410949707,11.085732460021973,1.324450969696045,1.3824243261414029,1.100147902078374,139.84335327148438,True
ERM,13,source_env1_color,1,300,20,0.1,probe_A,independent_B,13.945959091186523,8.43042278289795,11.054207801818848,1.1055617332458496,1.3745660391488843,1.1024555541692707,145.06857299804688,True
ERM,13,source_label_noise,2,300,20,0.1,probe_A,independent_B,12.879456520080566,6.818116664886475,8.96617603302002,6.245111465454102,1.3628592406161604,0.2047769800006572,142.05865478515625,True
CORAL,13,source_env0_color,0,300,20,0.1,probe_A,independent_B,13.82931137084961,8.255376815795898,10.999789237976074,1.4502692222595215,1.3846885403283375,1.0839624110571426,138.9037322998047,True
CORAL,13,source_env1_color,1,300,20,0.1,probe_A,independent_B,13.791034698486328,8.272393226623535,10.956075668334961,1.313228964805603,1.3775540932316064,1.0867291229143985,143.90489196777344,True
CORAL,13,source_label_noise,2,300,20,0.1,probe_A,independent_B,12.991016387939453,6.845358848571777,9.105195999145508,6.245235443115234,1.3680817009711517,0.2045834541739209,143.5842742919922,True
IRMv1,13,source_env0_color,0,300,20,0.1,probe_A,independent_B,0.5721817016601562,0.32588523626327515,0.3961595296859741,0.2534726858139038,0.9614463694461256,0.9877857745412487,2.4089014530181885,True
IRMv1,13,source_env1_color,1,300,20,0.1,probe_A,independent_B,0.41729670763015747,0.2210105061531067,0.29533007740974426,0.19511796534061432,0.9488918850917032,0.9730836448614495,3.6324357986450195,True
IRMv1,13,source_label_noise,2,300,20,0.1,probe_A,independent_B,5.785321235656738,3.531315326690674,4.444600582122803,1.1159241199493408,1.6064455501674018,0.5316831480706377,62.65677261352539,True
VREX,13,source_env0_color,0,300,20,0.1,probe_A,independent_B,0.39842134714126587,0.2355867475271225,0.2822640538215637,0.15351040661334991,0.9940555338245741,0.6162302119976866,3.57631778717041,True
VREX,13,source_env1_color,1,300,20,0.1,probe_A,independent_B,1.1900678873062134,0.7334786653518677,0.9101831912994385,0.22324274480342865,0.9836787577687331,0.610714899578012,3.642983913421631,True
VREX,13,source_label_noise,2,300,20,0.1,probe_A,independent_B,0.04145994037389755,0.024194903671741486,0.032217059284448624,0.009777198545634747,1.3748128911416433,0.1763082491545394,0.7332109808921814,True
FISHR,13,source_env0_color,0,300,20,0.1,probe_A,independent_B,0.10645133256912231,0.06150408461689949,0.08202780783176422,0.028645653277635574,0.9600443126502844,0.1623180495724702,7.609238624572754,True
FISHR,13,source_env1_color,1,300,20,0.1,probe_A,independent_B,0.4672853946685791,0.2959018349647522,0.3591822683811188,0.04225895553827286,0.9595476470109673,0.1617444284982396,5.7600626945495605,True
FISHR,13,source_label_noise,2,300,20,0.1,probe_A,independent_B,0.05435064062476158,0.030539993196725845,0.04013138264417648,0.020267551764845848,1.3179203424863266,0.11355359743801996,1.3358339071273804,True
ERM,14,source_env0_color,0,300,20,0.1,probe_A,independent_B,12.053316116333008,7.130894184112549,9.644521713256836,1.1899784803390503,1.3605611504513142,1.049003973769155,125.98395538330078,True
ERM,14,source_env1_color,1,300,20,0.1,probe_A,independent_B,11.940832138061523,7.059768199920654,9.560408592224121,1.1583313941955566,1.3722025920138203,1.064185789364023,127.89655303955078,True
ERM,14,source_label_noise,2,300,20,0.1,probe_A,independent_B,13.414698600769043,7.605072498321533,9.449050903320312,5.729966640472412,1.4140707794685956,0.1788396225224486,144.21160888671875,True
CORAL,14,source_env0_color,0,300,20,0.1,probe_A,independent_B,11.564674377441406,6.858412742614746,9.242300033569336,1.1330140829086304,1.3651733960243386,1.021514043143609,120.75521850585938,True
CORAL,14,source_env1_color,1,300,20,0.1,probe_A,independent_B,11.44640827178955,6.767090320587158,9.162288665771484,1.13102126121521,1.3754181923653352,1.0357320322857564,121.82276916503906,True
CORAL,14,source_label_noise,2,300,20,0.1,probe_A,independent_B,13.357843399047852,7.549967288970947,9.439678192138672,5.685288906097412,1.4100781107212639,0.17338997862022482,141.791259765625,True
IRMv1,14,source_env0_color,0,300,20,0.1,probe_A,independent_B,4.507558345794678,2.811636447906494,3.1160106658935547,1.6441580057144165,0.9649772632058755,0.8445356539055261,39.7344970703125,True
IRMv1,14,source_env1_color,1,300,20,0.1,probe_A,independent_B,1.4367281198501587,0.9178978800773621,1.087287425994873,0.19863711297512054,0.9654062566131091,0.8556002364191977,20.138517379760742,True
IRMv1,14,source_label_noise,2,300,20,0.1,probe_A,independent_B,5.1940693855285645,2.9867684841156006,4.192742824554443,0.6917195320129395,1.6229363161001298,0.5480166291912896,70.40599060058594,True
VREX,14,source_env0_color,0,300,20,0.1,probe_A,independent_B,1.13715398311615,0.7132930159568787,0.8764395713806152,0.12722276151180267,0.984693624204001,0.549952468556671,18.301176071166992,True
VREX,14,source_env1_color,1,300,20,0.1,probe_A,independent_B,3.512540102005005,2.198876142501831,2.718229293823242,0.33780696988105774,0.9729339077857726,0.5494294549432088,18.327743530273438,True
VREX,14,source_label_noise,2,300,20,0.1,probe_A,independent_B,0.17909689247608185,0.10411746799945831,0.13336335122585297,0.05873226374387741,1.3496498655298066,0.17975053093589538,3.9431397914886475,True
FISHR,14,source_env0_color,0,300,20,0.1,probe_A,independent_B,0.4013842046260834,0.2657358646392822,0.29477453231811523,0.06001422554254532,0.9729298689972822,0.12417656401608082,30.04037094116211,True
FISHR,14,source_env1_color,1,300,20,0.1,probe_A,independent_B,2.0091474056243896,1.2574658393859863,1.5501399040222168,0.22916962206363678,0.9667913549656317,0.12422371665414102,27.49698257446289,True
FISHR,14,source_label_noise,2,300,20,0.1,probe_A,independent_B,0.1146325096487999,0.07691582292318344,0.08263267576694489,0.019910048693418503,1.3092085863754936,0.10407598914352353,1.0894107818603516,True
