method,seed,semantic_direction,A_norm,O_norm,R_norm,G_diag,G_cross_01,G_cross_03,G_cross_13,R_source_norm,R_counterfactual_norm,R_clean_norm
CORAL,14,source_label_noise,1.4089010215836468,0.17155254993767688,171.9725341796875,29574.556640625,19240.712890625,3418.62451171875,3590.096435546875,92.84660339355469,122.51087951660156,77.10479736328125
IRMv1,14,source_env0_color,0.9649329534613946,0.8438550563550642,26.664997100830078,711.0220336914062,-54.14893341064453,-438.5313415527344,-499.1564636230469,16.61404800415039,19.079914093017578,8.423318862915039
IRMv1,14,source_env1_color,0.965424465082276,0.8547885682370157,11.116405487060547,123.57445526123047,-54.14893341064453,-438.5313415527344,-499.1564636230469,6.818136692047119,7.989100933074951,3.641664505004883
IRMv1,14,source_label_noise,1.6294569389393052,0.551348853080063,51.765228271484375,2679.639404296875,-54.14893341064453,-438.5313415527344,-499.1564636230469,32.06291961669922,39.89081954956055,7.767307758331299
VREX,14,source_env0_color,0.9851060644585862,0.5500052087718688,6.1959547996521,38.38985824584961,-36.76042175292969,8.413749694824219,-7.951496601104736,3.7788636684417725,4.694604873657227,1.43900465965271
VREX,14,source_env1_color,0.9732701301072756,0.5495156227428184,5.9386186599731445,35.267181396484375,-36.76042175292969,8.413749694824219,-7.951496601104736,3.6316163539886475,4.498404026031494,1.357540249824524
VREX,14,source_label_noise,1.3476265988551746,0.17940854036926862,1.6030281782150269,2.569699287414551,-36.76042175292969,8.413749694824219,-7.951496601104736,0.9191840887069702,1.1432124376296997,0.6464250087738037
FISHR,14,source_env0_color,0.973253951904871,0.12384640418618,21.225549697875977,450.52392578125,-395.10162353515625,6.006075382232666,-5.109495162963867,13.389019966125488,16.40140724182129,1.50067937374115
FISHR,14,source_env1_color,0.9664990778911641,0.12386211156854203,18.61977767944336,346.6960754394531,-395.10162353515625,6.006075382232666,-5.109495162963867,11.74167537689209,14.390690803527832,1.3180184364318848
FISHR,14,source_label_noise,1.3089076121820769,0.10386942530383468,0.9856999516487122,0.9716044068336487,-395.10162353515625,6.006075382232666,-5.109495162963867,0.539494514465332,0.765285313129425,0.30803972482681274
