method,seed,semantic_direction,horizon,finite_alpha,logical_checkpoint,legacy_checkpoint_key,state_gate_pass,outcome_norm,outcome_source_norm,outcome_counterfactual_norm,outcome_clean_norm,A_norm,O_norm,R_norm,A_rank,O_rank,G_0_0,G_0_1,G_0_2,G_1_0,G_1_1,G_1_2,G_2_0,G_2_1,G_2_2
IRMv1,11,source_env0_color,20,0.1,300,299,True,0.5488238334655762,0.3123624622821808,0.38887935876846313,0.22893238067626953,0.9488843712357381,0.7195766318096094,5.776754379272461,5,3,33.37089538574219,48.75107955932617,423.5697021484375,,,,,,
IRMv1,11,source_env1_color,20,0.1,300,299,True,0.2471713125705719,0.12587805092334747,0.17920975387096405,0.11459598690271378,0.9583805561941295,0.7327204078257019,12.10373306274414,5,3,,,,48.75107955932617,146.5003662109375,985.5697021484375,,,
IRMv1,11,source_label_noise,20,0.1,300,299,True,3.8739585876464844,2.4563682079315186,2.9692232608795166,0.3968902826309204,1.657543235930989,0.5883844898678642,84.74567413330078,5,3,,,,,,,423.5697021484375,985.5697021484375,7181.83056640625
VREX,11,source_env0_color,20,0.1,300,299,True,0.2944057881832123,0.1744685173034668,0.2017693966627121,0.12459775060415268,0.9703225942698339,0.5234869450228484,25.814977645874023,5,3,666.4130249023438,-655.1569213867188,16.476224899291992,,,,,,
VREX,11,source_env1_color,20,0.1,300,299,True,2.652329444885254,1.6539275646209717,2.054439067840576,0.2804568111896515,0.9725768467488626,0.5272888951587811,25.402284622192383,5,3,,,,-655.1569213867188,645.2760009765625,-14.712759971618652,,,
VREX,11,source_label_noise,20,0.1,300,299,True,0.273331880569458,0.15250077843666077,0.1984126716852188,0.1099373996257782,1.3827945941395354,0.23758791221058842,3.294384002685547,5,3,,,,,,,16.476224899291992,-14.712759971618652,10.8529691696167
FISHR,11,source_env0_color,20,0.1,300,299,True,0.7858830690383911,0.4796307384967804,0.6197797656059265,0.05864820256829262,0.9561179870096669,0.14960048366987866,21.179414749145508,5,3,448.5676574707031,-409.0233459472656,0.017336487770080566,,,,,,
FISHR,11,source_env1_color,20,0.1,300,299,True,1.418846607208252,0.8834573030471802,1.1052448749542236,0.10518037527799606,0.9615737893918219,0.14679661697166851,19.334054946899414,5,3,,,,-409.0233459472656,373.8057861328125,-0.07292646169662476,,,
FISHR,11,source_label_noise,20,0.1,300,299,True,0.07538687437772751,0.040584295988082886,0.05882049351930618,0.024005092680454254,1.3079179591423795,0.12441856412341057,0.8955518007278442,5,3,,,,,,,0.017336487770080566,-0.07292646169662476,0.8020129203796387
ERM,12,source_env0_color,20,0.1,300,299,True,14.348544120788574,8.49583625793457,11.528265953063965,0.8947556614875793,1.372978300162221,1.076798948028535,144.20993041992188,5,3,20796.498046875,20805.71484375,2703.578125,,,,,,
